RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30
395194,36,"Virginia Beach, VA",Msa,VA,261390.0,258472.0,258377.0,261195.0,267123.0,271981.0,276840.0,277909.0,278880.0,276937.0,276932.0,271981.0,271592.0,271107.0,274022.0,280824.0,286654.0,291415.0,291415.0,291415.0,291415.0,291415.0,290541.0,290541.0,291415.0,291415.0,291415.0,291512.0,301132.0,305116.0,310937.0,318405.0,320567.0,320567.0,315805.0,317640.0,309900.0,299990.0,299900.0,299990.0,305000.0,314995.0
394902,37,"Nashville, TN",Msa,TN,381493.0,381493.0,380476.0,385665.0,386581.0,386682.0,385665.0,381493.0,375998.0,366229.0,366586.0,366229.0,361141.0,361243.0,361243.0,361141.0,366229.0,371419.0,375489.0,376405.0,369384.0,366229.0,366229.0,365314.0,360226.0,357173.0,356155.0,361141.0,366229.0,366229.0,375489.0,381595.0,386581.0,386581.0,391771.0,390651.0,385665.0,386581.0,386740.0,400000.0,410900.0,425000.0
395005,38,"Providence, RI",Msa,RI,346014.0,345070.0,346014.0,351258.0,361846.0,366571.0,367095.0,366990.0,367095.0,366990.0,366990.0,361746.0,355558.0,351258.0,356502.0,363844.0,375486.0,382828.0,387967.0,387967.0,387967.0,387967.0,386814.0,382723.0,377479.0,366990.0,367095.0,387023.0,398456.0,398456.0,408944.0,419433.0,429921.0,419537.0,408944.0,398456.0,393316.0,397512.0,399000.0,424900.0,399999.0,409000.0
394862,39,"Milwaukee, WI",Msa,WI,209900.0,199900.0,199900.0,214900.0,227900.0,230000.0,239900.0,249000.0,239900.0,239900.0,234900.0,228700.0,224900.0,219900.0,225000.0,229000.0,235000.0,234900.0,235000.0,239900.0,239900.0,238800.0,229900.0,224999.0,219900.0,210000.0,218800.0,229900.0,239900.0,249000.0,254900.0,259900.0,259900.0,249900.0,240000.0,237500.0,232000.0,225000.0,225000.0,230000.0,250000.0,279000.0
394714,40,"Jacksonville, FL",Msa,FL,297500.0,299900.0,304500.0,309900.0,315000.0,319000.0,315990.0,314990.0,309000.0,299999.0,299000.0,295000.0,294500.0,298500.0,295000.0,299000.0,305000.0,310000.0,320000.0,311990.0,300000.0,299900.0,298990.0,299500.0,299000.0,296990.0,299987.0,308900.0,310000.0,302990.0,314900.0,318000.0,319000.0,319000.0,315000.0,310000.0,301130.0,307950.0,310000.0,317990.0,325000.0,336050.0
394849,41,"Memphis, TN",Msa,TN,204900.0,194898.0,189900.0,189900.0,190000.0,199400.0,199900.0,213900.0,215000.0,217500.0,219000.0,219900.0,218000.0,210000.0,209990.0,211000.0,218500.0,225000.0,235000.0,235000.0,235000.0,234550.0,233900.0,234900.0,235000.0,235000.0,229900.0,234900.0,244900.0,245000.0,250000.0,262000.0,265000.0,264945.0,250000.0,255000.0,259900.0,249000.0,239900.0,237500.0,240000.0,245000.0
394935,42,"Oklahoma City, OK",Msa,OK,235956.0,237095.0,238027.0,243203.0,251072.0,253660.0,256663.0,253660.0,253557.0,248380.0,248380.0,248380.0,248483.0,247966.0,253660.0,260804.0,273435.0,279544.0,281615.0,278250.0,274367.0,268052.0,269087.0,269191.0,269087.0,269087.0,274367.0,279441.0,284721.0,284721.0,293936.0,305428.0,300251.0,298698.0,295074.0,295074.0,294971.0,289898.0,291500.0,304900.0,314340.0,325000.0
394807,43,"Louisville-Jefferson County, KY",Msa,KY,230000.0,228500.0,235000.0,254900.0,269500.0,274817.0,279000.0,275000.0,269000.0,269000.0,265000.0,260300.0,256900.0,250000.0,251900.0,265000.0,275160.0,289000.0,292000.0,289500.0,285000.0,278371.0,269900.0,259900.0,249990.0,245000.0,249000.0,260955.0,279900.0,289000.0,299500.0,299500.0,299000.0,290000.0,274900.0,265000.0,249900.0,249900.0,250840.0,264000.0,275000.0,275900.0
394669,44,"Hartford, CT",Msa,CT,266000.0,265000.0,270000.0,279000.0,289900.0,289900.0,289900.0,289901.0,289900.0,289000.0,284900.0,284900.0,279900.0,279900.0,279900.0,285900.0,290000.0,299900.0,299900.0,307900.0,299900.0,299000.0,297000.0,290000.0,289900.0,289000.0,287000.0,289999.0,306900.0,309900.0,324000.0,330000.0,340000.0,339900.0,330000.0,329900.0,325000.0,324900.0,330000.0,339900.0,349900.0,354900.0
395022,45,"Richmond, VA",Msa,VA,304060.0,295894.0,293842.0,306730.0,318598.0,328908.0,329888.0,327877.0,329462.0,321988.0,314474.0,309318.0,309267.0,309215.0,309215.0,314474.0,335095.0,345354.0,350458.0,349530.0,347467.0,337157.0,329939.0,324784.0,324681.0,329604.0,332517.0,340147.0,350458.0,359840.0,369408.0,380977.0,381389.0,381441.0,377523.0,379950.0,380950.0,385000.0,389900.0,394950.0,396000.0,388990.0
