County,RegionType,StateName,Date,zhvi_single_family_homes_by_county,zhvi_condo_coop_homes_by_county,zhvi_5plus_homes_by_county,zhvi_4_homes_by_county,zhvi_3_homes_by_county,zhvi_2_homes_by_county,zhvi_1_homes_by_county,Year
MONTGOMERY COUNTY,County,TX,1996-11-30,144348.0,96513.0,310775.0,189203.0,119047.0,87514.0,61849.0,1996
GALVESTON COUNTY,County,TX,1996-11-30,,,,,,,,1996
TRINITY COUNTY,County,TX,1996-11-30,,,,,,,,1996
TRINITY COUNTY,County,TX,1996-12-31,,,,,,,,1996
GALVESTON COUNTY,County,TX,1996-12-31,,,,,,,,1996
MONTGOMERY COUNTY,County,TX,1996-12-31,144473.0,97052.0,310800.0,189418.0,119097.0,87845.0,62080.0,1996
FORT BEND COUNTY,County,TX,1996-12-31,142347.0,101046.0,247576.0,166668.0,97148.0,88328.0,107432.0,1996
HARRIS COUNTY,County,TX,1996-12-31,104505.0,91212.0,220696.0,138551.0,90064.0,68172.0,83759.0,1996
HARRIS COUNTY,County,TX,1997-01-31,104428.0,91255.0,220599.0,138406.0,90010.0,68083.0,83726.0,1997
FORT BEND COUNTY,County,TX,1997-01-31,142087.0,100360.0,246762.0,166282.0,96989.0,87862.0,106245.0,1997
MONTGOMERY COUNTY,County,TX,1997-01-31,144679.0,97182.0,311553.0,189898.0,119209.0,87902.0,61751.0,1997
GALVESTON COUNTY,County,TX,1997-01-31,104165.0,90644.0,186049.0,142943.0,95117.0,78436.0,70448.0,1997
TRINITY COUNTY,County,TX,1997-01-31,,,,,,,,1997
GALVESTON COUNTY,County,TX,1997-02-28,104664.0,89653.0,187928.0,142883.0,95841.0,77853.0,68560.0,1997
MONTGOMERY COUNTY,County,TX,1997-02-28,144893.0,97497.0,312743.0,190186.0,119370.0,87977.0,61715.0,1997
TRINITY COUNTY,County,TX,1997-02-28,,,,,,,,1997
HARRIS COUNTY,County,TX,1997-02-28,104187.0,90672.0,220456.0,138146.0,89803.0,67757.0,83273.0,1997
FORT BEND COUNTY,County,TX,1997-02-28,141767.0,99759.0,245659.0,165866.0,96784.0,87669.0,105301.0,1997
HARRIS COUNTY,County,TX,1997-03-31,103934.0,90471.0,220185.0,137791.0,89597.0,67548.0,83109.0,1997
FORT BEND COUNTY,County,TX,1997-03-31,141404.0,99730.0,244370.0,165395.0,96580.0,87612.0,103778.0,1997
MONTGOMERY COUNTY,County,TX,1997-03-31,145294.0,98144.0,314461.0,190472.0,119631.0,88354.0,61861.0,1997
GALVESTON COUNTY,County,TX,1997-03-31,105392.0,89223.0,191805.0,144632.0,96671.0,77491.0,66214.0,1997
TRINITY COUNTY,County,TX,1997-03-31,,,,,,,,1997
GALVESTON COUNTY,County,TX,1997-04-30,106495.0,89038.0,197194.0,146445.0,98119.0,76849.0,62879.0,1997
MONTGOMERY COUNTY,County,TX,1997-04-30,145644.0,98838.0,315014.0,190696.0,119861.0,88800.0,62868.0,1997
TRINITY COUNTY,County,TX,1997-04-30,,,,,,,,1997
HARRIS COUNTY,County,TX,1997-04-30,103963.0,89941.0,220228.0,137816.0,89661.0,67398.0,82646.0,1997
FORT BEND COUNTY,County,TX,1997-04-30,141492.0,99994.0,244628.0,165514.0,96603.0,88114.0,103976.0,1997
HARRIS COUNTY,County,TX,1997-05-31,103976.0,89816.0,220245.0,137800.0,89729.0,67403.0,82412.0,1997
FORT BEND COUNTY,County,TX,1997-05-31,141804.0,100268.0,245030.0,165847.0,96893.0,88237.0,103735.0,1997
MONTGOMERY COUNTY,County,TX,1997-05-31,145964.0,99061.0,316283.0,191232.0,120047.0,89011.0,62475.0,1997
GALVESTON COUNTY,County,TX,1997-05-31,107587.0,89671.0,202891.0,149018.0,99346.0,76796.0,61073.0,1997
TRINITY COUNTY,County,TX,1997-05-31,,,,,,,,1997
