County,RegionType,StateName,Date,zhvi_single_family_homes_by_county,zhvi_condo_coop_homes_by_county,zhvi_5plus_homes_by_county,zhvi_4_homes_by_county,zhvi_3_homes_by_county,zhvi_2_homes_by_county,zhvi_1_homes_by_county,Year
MONTGOMERY COUNTY,County,TX,2000-01-31,160370.0,105263.0,339800.0,207056.0,131758.0,96312.0,66015.0,2000
GALVESTON COUNTY,County,TX,2000-01-31,126977.0,111923.0,254105.0,176666.0,116078.0,93503.0,76963.0,2000
TRINITY COUNTY,County,TX,2000-01-31,,,,,,,,2000
GALVESTON COUNTY,County,TX,2000-02-29,127406.0,111867.0,255303.0,176901.0,116536.0,93696.0,76974.0,2000
MONTGOMERY COUNTY,County,TX,2000-02-29,160953.0,105727.0,341437.0,208053.0,132282.0,96744.0,66193.0,2000
TRINITY COUNTY,County,TX,2000-02-29,,,,,,,,2000
HARRIS COUNTY,County,TX,2000-02-29,115735.0,93763.0,240073.0,150610.0,99913.0,80138.0,91371.0,2000
FORT BEND COUNTY,County,TX,2000-02-29,168183.0,108324.0,290347.0,197096.0,115364.0,99415.0,115857.0,2000
HARRIS COUNTY,County,TX,2000-03-31,115644.0,94033.0,239696.0,150404.0,99877.0,79957.0,91741.0,2000
FORT BEND COUNTY,County,TX,2000-03-31,168999.0,108850.0,291610.0,198206.0,115826.0,99957.0,116952.0,2000
MONTGOMERY COUNTY,County,TX,2000-03-31,161244.0,105832.0,341942.0,208264.0,132527.0,97050.0,65987.0,2000
GALVESTON COUNTY,County,TX,2000-03-31,127743.0,111561.0,256056.0,176784.0,116907.0,93843.0,76976.0,2000
TRINITY COUNTY,County,TX,2000-03-31,,,,,,,,2000
HARRIS COUNTY,County,TX,2000-04-30,115683.0,93703.0,239563.0,150455.0,99954.0,79637.0,90879.0,2000
FORT BEND COUNTY,County,TX,2000-04-30,169819.0,109382.0,292981.0,199150.0,116296.0,100395.0,117514.0,2000
MONTGOMERY COUNTY,County,TX,2000-04-30,161290.0,105796.0,342138.0,208115.0,132626.0,97254.0,66120.0,2000
GALVESTON COUNTY,County,TX,2000-04-30,128160.0,111445.0,256758.0,176833.0,117324.0,94195.0,76593.0,2000
TRINITY COUNTY,County,TX,2000-04-30,,,,,,,,2000
TRINITY COUNTY,County,TX,2000-05-31,,,,,,,,2000
GALVESTON COUNTY,County,TX,2000-05-31,128496.0,111553.0,256935.0,176891.0,117661.0,94565.0,76536.0,2000
HARRIS COUNTY,County,TX,2000-05-31,115695.0,93592.0,239237.0,150448.0,100001.0,79242.0,90324.0,2000
FORT BEND COUNTY,County,TX,2000-05-31,169781.0,110006.0,292803.0,199032.0,116238.0,100967.0,119159.0,2000
MONTGOMERY COUNTY,County,TX,2000-05-31,161321.0,106168.0,342284.0,207849.0,132717.0,97444.0,66459.0,2000
HARRIS COUNTY,County,TX,2000-06-30,115894.0,93058.0,239551.0,150653.0,100189.0,78988.0,89112.0,2000
FORT BEND COUNTY,County,TX,2000-06-30,169537.0,110439.0,292445.0,198656.0,116142.0,101091.0,118711.0,2000
MONTGOMERY COUNTY,County,TX,2000-06-30,161140.0,106293.0,342032.0,207566.0,132681.0,97400.0,66466.0,2000
GALVESTON COUNTY,County,TX,2000-06-30,128747.0,112499.0,256582.0,176962.0,117879.0,95080.0,77095.0,2000
TRINITY COUNTY,County,TX,2000-06-30,,,,,,,,2000
TRINITY COUNTY,County,TX,2000-07-31,,,,,,,,2000
GALVESTON COUNTY,County,TX,2000-07-31,128746.0,113359.0,255590.0,176695.0,117916.0,95358.0,77987.0,2000
MONTGOMERY COUNTY,County,TX,2000-07-31,161023.0,106097.0,341829.0,207192.0,132606.0,97189.0,66566.0,2000
HARRIS COUNTY,County,TX,2000-07-31,116024.0,93582.0,239730.0,150603.0,100285.0,79088.0,89979.0,2000
FORT BEND COUNTY,County,TX,2000-07-31,169253.0,111004.0,291896.0,198362.0,116125.0,100727.0,117102.0,2000
HARRIS COUNTY,County,TX,2000-08-31,116353.0,93559.0,240431.0,150837.0,100557.0,79241.0,89891.0,2000
FORT BEND COUNTY,County,TX,2000-08-31,169547.0,111524.0,292213.0,198747.0,116493.0,100729.0,115591.0,2000
MONTGOMERY COUNTY,County,TX,2000-08-31,161073.0,105126.0,342066.0,207054.0,132713.0,97009.0,66234.0,2000
GALVESTON COUNTY,County,TX,2000-08-31,128707.0,113923.0,256521.0,176885.0,117877.0,95303.0,78884.0,2000
TRINITY COUNTY,County,TX,2000-08-31,,,,,,,,2000
GALVESTON COUNTY,County,TX,2000-09-30,128693.0,113756.0,257618.0,176823.0,117958.0,95029.0,79212.0,2000
TRINITY COUNTY,County,TX,2000-09-30,,,,,,,,2000
MONTGOMERY COUNTY,County,TX,2000-09-30,161230.0,104371.0,342407.0,206950.0,132869.0,97031.0,66490.0,2000
FORT BEND COUNTY,County,TX,2000-09-30,169838.0,111964.0,292274.0,199045.0,116815.0,100747.0,114959.0,2000
HARRIS COUNTY,County,TX,2000-09-30,116696.0,93630.0,240942.0,151094.0,100844.0,79419.0,90034.0,2000
HARRIS COUNTY,County,TX,2000-10-31,116972.0,93112.0,241130.0,151330.0,101134.0,79311.0,89232.0,2000
FORT BEND COUNTY,County,TX,2000-10-31,170297.0,112600.0,292416.0,199395.0,117257.0,101617.0,116384.0,2000
MONTGOMERY COUNTY,County,TX,2000-10-31,161542.0,103926.0,342395.0,207005.0,133172.0,97189.0,66546.0,2000
GALVESTON COUNTY,County,TX,2000-10-31,128492.0,113283.0,258101.0,176854.0,117875.0,94474.0,79134.0,2000
TRINITY COUNTY,County,TX,2000-10-31,,,,,,,,2000
HARRIS COUNTY,County,TX,2000-11-30,117462.0,93802.0,241482.0,151756.0,101581.0,79699.0,90606.0,2000
FORT BEND COUNTY,County,TX,2000-11-30,170793.0,113394.0,292531.0,199660.0,117719.0,101556.0,116699.0,2000
MONTGOMERY COUNTY,County,TX,2000-11-30,161861.0,103824.0,342970.0,207128.0,133460.0,97347.0,66546.0,2000
GALVESTON COUNTY,County,TX,2000-11-30,128359.0,112905.0,257163.0,176415.0,117859.0,94092.0,79098.0,2000
TRINITY COUNTY,County,TX,2000-11-30,,,,,,,,2000
TRINITY COUNTY,County,TX,2000-12-31,,,,,,,,2000
GALVESTON COUNTY,County,TX,2000-12-31,128394.0,112841.0,255742.0,176123.0,117922.0,94160.0,79333.0,2000
HARRIS COUNTY,County,TX,2000-12-31,117959.0,93726.0,241987.0,152256.0,102051.0,79908.0,90783.0,2000
FORT BEND COUNTY,County,TX,2000-12-31,171342.0,114379.0,293060.0,199976.0,118205.0,102352.0,118373.0,2000
MONTGOMERY COUNTY,County,TX,2000-12-31,161472.0,103344.0,341846.0,206356.0,133138.0,97125.0,66239.0,2000
HARRIS COUNTY,County,TX,2001-01-31,118148.0,93719.0,242118.0,152355.0,102222.0,80077.0,91146.0,2001
FORT BEND COUNTY,County,TX,2001-01-31,171657.0,115179.0,293555.0,200141.0,118523.0,101926.0,116495.0,2001
MONTGOMERY COUNTY,County,TX,2001-01-31,160892.0,102724.0,340477.0,205489.0,132675.0,96809.0,65824.0,2001
GALVESTON COUNTY,County,TX,2001-01-31,128596.0,113499.0,255184.0,175977.0,118167.0,94415.0,79673.0,2001
TRINITY COUNTY,County,TX,2001-01-31,,,,,,,,2001
TRINITY COUNTY,County,TX,2001-02-28,,,,,,,,2001
GALVESTON COUNTY,County,TX,2001-02-28,128800.0,113719.0,255186.0,175951.0,118320.0,94835.0,79949.0,2001
HARRIS COUNTY,County,TX,2001-02-28,118124.0,93271.0,241884.0,152228.0,102211.0,79998.0,90592.0,2001
FORT BEND COUNTY,County,TX,2001-02-28,171528.0,115562.0,293227.0,199836.0,118544.0,102417.0,116432.0,2001
MONTGOMERY COUNTY,County,TX,2001-02-28,160315.0,102251.0,339640.0,204383.0,132137.0,96418.0,65662.0,2001
HARRIS COUNTY,County,TX,2001-03-31,117696.0,92996.0,240808.0,151569.0,101855.0,79744.0,90135.0,2001
FORT BEND COUNTY,County,TX,2001-03-31,171224.0,115899.0,292336.0,199247.0,118453.0,102358.0,114998.0,2001
MONTGOMERY COUNTY,County,TX,2001-03-31,160427.0,102074.0,341052.0,204437.0,132133.0,96412.0,65607.0,2001
GALVESTON COUNTY,County,TX,2001-03-31,128509.0,113847.0,255115.0,175618.0,118026.0,94778.0,80084.0,2001
TRINITY COUNTY,County,TX,2001-03-31,,,,,,,,2001
TRINITY COUNTY,County,TX,2001-04-30,,,,,,,,2001
GALVESTON COUNTY,County,TX,2001-04-30,128239.0,113569.0,255090.0,175087.0,117696.0,94710.0,80206.0,2001
MONTGOMERY COUNTY,County,TX,2001-04-30,160652.0,101892.0,342416.0,204626.0,132176.0,96438.0,65752.0,2001
HARRIS COUNTY,County,TX,2001-04-30,117508.0,92914.0,240005.0,151147.0,101701.0,79675.0,89963.0,2001
FORT BEND COUNTY,County,TX,2001-04-30,171042.0,116097.0,291355.0,198789.0,118400.0,102682.0,115550.0,2001
HARRIS COUNTY,County,TX,2001-05-31,117504.0,92500.0,239641.0,150963.0,101720.0,79723.0,89294.0,2001
FORT BEND COUNTY,County,TX,2001-05-31,171246.0,116097.0,291238.0,198714.0,118566.0,102103.0,113927.0,2001
MONTGOMERY COUNTY,County,TX,2001-05-31,160824.0,101378.0,342347.0,204737.0,132181.0,96357.0,65490.0,2001
GALVESTON COUNTY,County,TX,2001-05-31,127980.0,113466.0,255565.0,174947.0,117395.0,94638.0,80263.0,2001
TRINITY COUNTY,County,TX,2001-05-31,,,,,,,,2001
GALVESTON COUNTY,County,TX,2001-06-30,127915.0,113299.0,256158.0,174578.0,117308.0,94487.0,80105.0,2001
MONTGOMERY COUNTY,County,TX,2001-06-30,160822.0,100830.0,342047.0,204636.0,131993.0,96128.0,65432.0,2001
TRINITY COUNTY,County,TX,2001-06-30,,,,,,,,2001
HARRIS COUNTY,County,TX,2001-06-30,117648.0,92668.0,239521.0,150946.0,101861.0,80032.0,89657.0,2001
FORT BEND COUNTY,County,TX,2001-06-30,171437.0,116533.0,290954.0,198574.0,118705.0,102261.0,115038.0,2001
HARRIS COUNTY,County,TX,2001-07-31,117798.0,92376.0,239348.0,151037.0,102034.0,80173.0,89067.0,2001
FORT BEND COUNTY,County,TX,2001-07-31,171677.0,117149.0,291056.0,198524.0,118882.0,102737.0,115837.0,2001
MONTGOMERY COUNTY,County,TX,2001-07-31,160742.0,100470.0,341187.0,204383.0,131855.0,96089.0,65266.0,2001
GALVESTON COUNTY,County,TX,2001-07-31,127908.0,113514.0,257343.0,174666.0,117215.0,94443.0,79963.0,2001
TRINITY COUNTY,County,TX,2001-07-31,,,,,,,,2001
GALVESTON COUNTY,County,TX,2001-08-31,127927.0,113903.0,257553.0,174360.0,117128.0,94570.0,80100.0,2001
MONTGOMERY COUNTY,County,TX,2001-08-31,160409.0,100751.0,340816.0,204013.0,131572.0,96046.0,65657.0,2001
TRINITY COUNTY,County,TX,2001-08-31,,,,,,,,2001
HARRIS COUNTY,County,TX,2001-08-31,117623.0,92232.0,238415.0,150660.0,101916.0,80145.0,88869.0,2001
FORT BEND COUNTY,County,TX,2001-08-31,171782.0,117854.0,291103.0,198505.0,118951.0,103759.0,118233.0,2001
FORT BEND COUNTY,County,TX,2001-09-30,172047.0,118134.0,291721.0,198768.0,119159.0,103958.0,118791.0,2001
MONTGOMERY COUNTY,County,TX,2001-09-30,160118.0,101003.0,341094.0,203551.0,131397.0,96015.0,65589.0,2001
GALVESTON COUNTY,County,TX,2001-09-30,127930.0,114522.0,258277.0,174552.0,117033.0,94839.0,80779.0,2001
TRINITY COUNTY,County,TX,2001-09-30,,,,,,,,2001
HARRIS COUNTY,County,TX,2001-09-30,117718.0,92101.0,238166.0,150645.0,102040.0,80214.0,88562.0,2001
HARRIS COUNTY,County,TX,2001-10-31,117981.0,92640.0,238445.0,150783.0,102270.0,80625.0,89499.0,2001
FORT BEND COUNTY,County,TX,2001-10-31,172020.0,117642.0,291807.0,198691.0,119171.0,103546.0,118544.0,2001
MONTGOMERY COUNTY,County,TX,2001-10-31,159709.0,101266.0,341905.0,202988.0,131110.0,95899.0,65354.0,2001
GALVESTON COUNTY,County,TX,2001-10-31,128088.0,114978.0,258704.0,174659.0,117103.0,95284.0,81731.0,2001
TRINITY COUNTY,County,TX,2001-10-31,,,,,,,,2001
GALVESTON COUNTY,County,TX,2001-11-30,128205.0,115600.0,259685.0,175036.0,117192.0,95631.0,82028.0,2001
TRINITY COUNTY,County,TX,2001-11-30,,,,,,,,2001
FORT BEND COUNTY,County,TX,2001-11-30,172129.0,117438.0,292030.0,198794.0,119327.0,103471.0,118201.0,2001
HARRIS COUNTY,County,TX,2001-11-30,118260.0,92223.0,239020.0,151073.0,102534.0,80663.0,88293.0,2001
MONTGOMERY COUNTY,County,TX,2001-11-30,159428.0,101190.0,342664.0,202555.0,130856.0,95882.0,65181.0,2001
HARRIS COUNTY,County,TX,2001-12-31,118435.0,92270.0,239159.0,151131.0,102679.0,80856.0,87987.0,2001
FORT BEND COUNTY,County,TX,2001-12-31,172043.0,117464.0,291789.0,198665.0,119367.0,103100.0,116640.0,2001
MONTGOMERY COUNTY,County,TX,2001-12-31,159430.0,101458.0,343257.0,202670.0,130842.0,95957.0,65290.0,2001
GALVESTON COUNTY,County,TX,2001-12-31,128251.0,116336.0,259750.0,174800.0,117233.0,95848.0,82081.0,2001
TRINITY COUNTY,County,TX,2001-12-31,,,,,,,,2001
TRINITY COUNTY,County,TX,2002-01-31,,,,,,,,2002
MONTGOMERY COUNTY,County,TX,2002-01-31,159594.0,101538.0,343996.0,202938.0,130954.0,95948.0,65643.0,2002
GALVESTON COUNTY,County,TX,2002-01-31,128310.0,116740.0,259848.0,174746.0,117273.0,95906.0,81760.0,2002
HARRIS COUNTY,County,TX,2002-01-31,118614.0,91810.0,239282.0,151254.0,102872.0,80755.0,86639.0,2002
FORT BEND COUNTY,County,TX,2002-01-31,172117.0,117512.0,291485.0,198607.0,119492.0,103618.0,117725.0,2002
HARRIS COUNTY,County,TX,2002-02-28,118913.0,92249.0,239500.0,151432.0,103163.0,81039.0,87253.0,2002
FORT BEND COUNTY,County,TX,2002-02-28,172468.0,117738.0,291719.0,198706.0,119850.0,103897.0,118968.0,2002
MONTGOMERY COUNTY,County,TX,2002-02-28,159665.0,101466.0,343165.0,203048.0,131057.0,95888.0,65708.0,2002
GALVESTON COUNTY,County,TX,2002-02-28,128352.0,116772.0,259626.0,174790.0,117301.0,95786.0,81471.0,2002
TRINITY COUNTY,County,TX,2002-02-28,,,,,,,,2002
GALVESTON COUNTY,County,TX,2002-03-31,128865.0,116825.0,260555.0,175568.0,117722.0,96090.0,81042.0,2002
HARRIS COUNTY,County,TX,2002-03-31,119505.0,91962.0,240541.0,152046.0,103726.0,81224.0,86615.0,2002
FORT BEND COUNTY,County,TX,2002-03-31,173170.0,117653.0,292596.0,199222.0,120450.0,104480.0,120801.0,2002
MONTGOMERY COUNTY,County,TX,2002-03-31,159604.0,101430.0,342095.0,202852.0,131063.0,95804.0,65866.0,2002
TRINITY COUNTY,County,TX,2002-03-31,,,,,,,,2002
TRINITY COUNTY,County,TX,2002-04-30,,,,,,,,2002
MONTGOMERY COUNTY,County,TX,2002-04-30,159505.0,101461.0,340870.0,202772.0,131003.0,95702.0,65815.0,2002
GALVESTON COUNTY,County,TX,2002-04-30,129300.0,117330.0,260625.0,176109.0,118192.0,96400.0,81163.0,2002
FORT BEND COUNTY,County,TX,2002-04-30,174081.0,118171.0,294329.0,200120.0,121250.0,104745.0,120975.0,2002
HARRIS COUNTY,County,TX,2002-04-30,120143.0,92600.0,241538.0,152669.0,104319.0,81813.0,87837.0,2002
HARRIS COUNTY,County,TX,2002-05-31,120678.0,93184.0,242302.0,153181.0,104823.0,82285.0,88875.0,2002
FORT BEND COUNTY,County,TX,2002-05-31,175335.0,119116.0,296499.0,201527.0,122295.0,105814.0,122108.0,2002
MONTGOMERY COUNTY,County,TX,2002-05-31,159614.0,101953.0,341997.0,203029.0,131184.0,95845.0,66162.0,2002
GALVESTON COUNTY,County,TX,2002-05-31,129685.0,117890.0,260308.0,176163.0,118603.0,96677.0,81058.0,2002
TRINITY COUNTY,County,TX,2002-05-31,,,,,,,,2002
TRINITY COUNTY,County,TX,2002-06-30,,,,,,,,2002
GALVESTON COUNTY,County,TX,2002-06-30,130032.0,118046.0,260269.0,176608.0,118973.0,96984.0,80637.0,2002
MONTGOMERY COUNTY,County,TX,2002-06-30,160040.0,102483.0,343758.0,203395.0,131610.0,96191.0,66343.0,2002
FORT BEND COUNTY,County,TX,2002-06-30,176447.0,119514.0,298737.0,202957.0,123216.0,106169.0,120871.0,2002
HARRIS COUNTY,County,TX,2002-06-30,121163.0,93752.0,242908.0,153668.0,105300.0,82662.0,89759.0,2002
HARRIS COUNTY,County,TX,2002-07-31,121601.0,94283.0,243438.0,154055.0,105716.0,83032.0,90526.0,2002
FORT BEND COUNTY,County,TX,2002-07-31,177209.0,119218.0,300040.0,203847.0,123853.0,106776.0,121269.0,2002
MONTGOMERY COUNTY,County,TX,2002-07-31,160808.0,103175.0,346767.0,204217.0,132296.0,96563.0,66680.0,2002
GALVESTON COUNTY,County,TX,2002-07-31,130332.0,117659.0,260788.0,177148.0,119281.0,97143.0,79834.0,2002
TRINITY COUNTY,County,TX,2002-07-31,,,,,,,,2002
GALVESTON COUNTY,County,TX,2002-08-31,130948.0,117275.0,261409.0,177759.0,119929.0,97553.0,79139.0,2002
MONTGOMERY COUNTY,County,TX,2002-08-31,161817.0,103398.0,348965.0,205110.0,133043.0,96945.0,67137.0,2002
TRINITY COUNTY,County,TX,2002-08-31,,,,,,,,2002
HARRIS COUNTY,County,TX,2002-08-31,122268.0,94519.0,244659.0,154789.0,106337.0,83395.0,90671.0,2002
FORT BEND COUNTY,County,TX,2002-08-31,177675.0,119084.0,300553.0,204220.0,124244.0,106782.0,120895.0,2002
HARRIS COUNTY,County,TX,2002-09-30,122798.0,94806.0,245646.0,155364.0,106822.0,83649.0,90826.0,2002
FORT BEND COUNTY,County,TX,2002-09-30,178007.0,119740.0,300518.0,204276.0,124591.0,107303.0,123529.0,2002
MONTGOMERY COUNTY,County,TX,2002-09-30,162518.0,103574.0,349867.0,205844.0,133518.0,97186.0,67828.0,2002
GALVESTON COUNTY,County,TX,2002-09-30,131513.0,117310.0,261319.0,178055.0,120525.0,97822.0,78877.0,2002
TRINITY COUNTY,County,TX,2002-09-30,,,,,,,,2002
GALVESTON COUNTY,County,TX,2002-10-31,132167.0,117504.0,261834.0,178498.0,121163.0,98169.0,78620.0,2002
MONTGOMERY COUNTY,County,TX,2002-10-31,163115.0,103514.0,349887.0,206410.0,133887.0,97573.0,68568.0,2002
TRINITY COUNTY,County,TX,2002-10-31,,,,,,,,2002
HARRIS COUNTY,County,TX,2002-10-31,123214.0,94514.0,246404.0,155840.0,107239.0,83693.0,89886.0,2002
FORT BEND COUNTY,County,TX,2002-10-31,178559.0,121063.0,300874.0,204596.0,125124.0,108041.0,125735.0,2002
HARRIS COUNTY,County,TX,2002-11-30,123524.0,95103.0,246718.0,156081.0,107555.0,84061.0,90707.0,2002
FORT BEND COUNTY,County,TX,2002-11-30,178801.0,121717.0,300990.0,204612.0,125487.0,108674.0,128375.0,2002
MONTGOMERY COUNTY,County,TX,2002-11-30,163615.0,103653.0,349971.0,206959.0,134296.0,97888.0,69050.0,2002
GALVESTON COUNTY,County,TX,2002-11-30,132652.0,117114.0,262443.0,179137.0,121618.0,98269.0,78456.0,2002
TRINITY COUNTY,County,TX,2002-11-30,,,,,,,,2002
HARRIS COUNTY,County,TX,2002-12-31,123769.0,95193.0,247011.0,156259.0,107825.0,84207.0,90544.0,2002
FORT BEND COUNTY,County,TX,2002-12-31,179509.0,122470.0,302111.0,205192.0,126131.0,109468.0,129959.0,2002
MONTGOMERY COUNTY,County,TX,2002-12-31,164272.0,103785.0,351286.0,207579.0,134847.0,98339.0,69420.0,2002
GALVESTON COUNTY,County,TX,2002-12-31,133166.0,116709.0,264079.0,180082.0,122039.0,98482.0,78429.0,2002
TRINITY COUNTY,County,TX,2002-12-31,,,,,,,,2002
GALVESTON COUNTY,County,TX,2003-01-31,133558.0,116168.0,265264.0,180756.0,122364.0,98804.0,78644.0,2003
MONTGOMERY COUNTY,County,TX,2003-01-31,164818.0,104110.0,352622.0,207960.0,135283.0,98757.0,69719.0,2003
TRINITY COUNTY,County,TX,2003-01-31,,,,,,,,2003
HARRIS COUNTY,County,TX,2003-01-31,124130.0,95747.0,247425.0,156526.0,108167.0,84604.0,91350.0,2003
FORT BEND COUNTY,County,TX,2003-01-31,180315.0,123372.0,303474.0,205975.0,126797.0,110065.0,131745.0,2003
HARRIS COUNTY,County,TX,2003-02-28,124236.0,95384.0,247371.0,156563.0,108282.0,84549.0,90685.0,2003
FORT BEND COUNTY,County,TX,2003-02-28,181123.0,123970.0,304763.0,206875.0,127379.0,110590.0,131593.0,2003
MONTGOMERY COUNTY,County,TX,2003-02-28,165353.0,104498.0,354808.0,208459.0,135668.0,99185.0,70124.0,2003
GALVESTON COUNTY,County,TX,2003-02-28,134031.0,116852.0,266530.0,181186.0,122793.0,99441.0,79105.0,2003
TRINITY COUNTY,County,TX,2003-02-28,,,,,,,,2003
GALVESTON COUNTY,County,TX,2003-03-31,134260.0,117089.0,266213.0,180919.0,123107.0,99795.0,79549.0,2003
MONTGOMERY COUNTY,County,TX,2003-03-31,165588.0,104590.0,355523.0,208644.0,135732.0,99366.0,70381.0,2003
TRINITY COUNTY,County,TX,2003-03-31,,,,,,,,2003
HARRIS COUNTY,County,TX,2003-03-31,124251.0,95450.0,247053.0,156474.0,108309.0,84626.0,90816.0,2003
FORT BEND COUNTY,County,TX,2003-03-31,181576.0,124436.0,305377.0,207413.0,127735.0,110809.0,130525.0,2003
FORT BEND COUNTY,County,TX,2003-04-30,181735.0,124427.0,305227.0,207571.0,127867.0,111302.0,130028.0,2003
MONTGOMERY COUNTY,County,TX,2003-04-30,165799.0,104697.0,356030.0,208538.0,135899.0,99628.0,70482.0,2003
GALVESTON COUNTY,County,TX,2003-04-30,134524.0,116980.0,266274.0,180904.0,123337.0,100042.0,79507.0,2003
TRINITY COUNTY,County,TX,2003-04-30,,,,,,,,2003
HARRIS COUNTY,County,TX,2003-04-30,124295.0,94758.0,247063.0,156526.0,108367.0,84400.0,89369.0,2003
HARRIS COUNTY,County,TX,2003-05-31,124413.0,94148.0,247303.0,156604.0,108499.0,84227.0,87786.0,2003
FORT BEND COUNTY,County,TX,2003-05-31,181764.0,124539.0,305151.0,207536.0,127998.0,111864.0,130422.0,2003
MONTGOMERY COUNTY,County,TX,2003-05-31,165862.0,104385.0,354742.0,208018.0,135877.0,99779.0,70271.0,2003
GALVESTON COUNTY,County,TX,2003-05-31,134763.0,116386.0,266329.0,180900.0,123558.0,100259.0,79327.0,2003
TRINITY COUNTY,County,TX,2003-05-31,,,,,,,,2003
GALVESTON COUNTY,County,TX,2003-06-30,135153.0,116823.0,266885.0,181110.0,123844.0,100589.0,79611.0,2003
TRINITY COUNTY,County,TX,2003-06-30,,,,,,,,2003
MONTGOMERY COUNTY,County,TX,2003-06-30,165898.0,104362.0,353155.0,207535.0,135935.0,100056.0,70333.0,2003
HARRIS COUNTY,County,TX,2003-06-30,124793.0,94153.0,247903.0,156964.0,108854.0,84400.0,87398.0,2003
FORT BEND COUNTY,County,TX,2003-06-30,181800.0,124755.0,305063.0,207419.0,128069.0,112675.0,131905.0,2003
HARRIS COUNTY,County,TX,2003-07-31,124973.0,93747.0,248035.0,157079.0,109047.0,84357.0,86481.0,2003
FORT BEND COUNTY,County,TX,2003-07-31,182009.0,125364.0,305414.0,207642.0,128342.0,112514.0,129905.0,2003
MONTGOMERY COUNTY,County,TX,2003-07-31,165753.0,104234.0,351114.0,207132.0,135823.0,100293.0,70451.0,2003
GALVESTON COUNTY,County,TX,2003-07-31,135725.0,117839.0,267080.0,181235.0,124464.0,101010.0,80296.0,2003
TRINITY COUNTY,County,TX,2003-07-31,,,,,,,,2003
GALVESTON COUNTY,County,TX,2003-08-31,136062.0,118998.0,267547.0,181692.0,124788.0,101148.0,81022.0,2003
MONTGOMERY COUNTY,County,TX,2003-08-31,165554.0,104539.0,350185.0,206996.0,135689.0,100456.0,70391.0,2003
TRINITY COUNTY,County,TX,2003-08-31,,,,,,,,2003
HARRIS COUNTY,County,TX,2003-08-31,125361.0,94346.0,248349.0,157485.0,109406.0,84642.0,87012.0,2003
FORT BEND COUNTY,County,TX,2003-08-31,182329.0,125756.0,305769.0,207967.0,128788.0,112257.0,127494.0,2003
HARRIS COUNTY,County,TX,2003-09-30,125544.0,94121.0,248326.0,157645.0,109590.0,84710.0,86362.0,2003
FORT BEND COUNTY,County,TX,2003-09-30,182812.0,126192.0,306411.0,208401.0,129285.0,113372.0,124711.0,2003
MONTGOMERY COUNTY,County,TX,2003-09-30,165607.0,104619.0,350670.0,207200.0,135762.0,100551.0,70073.0,2003
GALVESTON COUNTY,County,TX,2003-09-30,136304.0,119242.0,267999.0,181924.0,125039.0,101287.0,80932.0,2003
TRINITY COUNTY,County,TX,2003-09-30,,,,,,,,2003
HARRIS COUNTY,County,TX,2003-10-31,125901.0,94161.0,248733.0,158015.0,109918.0,84841.0,85888.0,2003
FORT BEND COUNTY,County,TX,2003-10-31,183262.0,126602.0,307312.0,208923.0,129661.0,114029.0,120986.0,2003
MONTGOMERY COUNTY,County,TX,2003-10-31,165805.0,104991.0,352027.0,207504.0,135982.0,100513.0,69955.0,2003
GALVESTON COUNTY,County,TX,2003-10-31,136421.0,119598.0,267888.0,181928.0,125131.0,101453.0,80614.0,2003
TRINITY COUNTY,County,TX,2003-10-31,,,,,,,,2003
TRINITY COUNTY,County,TX,2003-11-30,,,,,,,,2003
GALVESTON COUNTY,County,TX,2003-11-30,136892.0,120502.0,268210.0,182077.0,125544.0,101955.0,80742.0,2003
MONTGOMERY COUNTY,County,TX,2003-11-30,166094.0,105395.0,352969.0,207712.0,136238.0,100608.0,70116.0,2003
FORT BEND COUNTY,County,TX,2003-11-30,183878.0,127412.0,308610.0,209670.0,129986.0,114753.0,116333.0,2003
HARRIS COUNTY,County,TX,2003-11-30,126178.0,93664.0,249122.0,158251.0,110177.0,84836.0,84706.0,2003
HARRIS COUNTY,County,TX,2003-12-31,126566.0,93907.0,249745.0,158652.0,110536.0,85050.0,84719.0,2003
FORT BEND COUNTY,County,TX,2003-12-31,184260.0,127641.0,309344.0,210293.0,130242.0,114558.0,113548.0,2003
MONTGOMERY COUNTY,County,TX,2003-12-31,166364.0,105966.0,353429.0,207906.0,136443.0,100814.0,70342.0,2003
GALVESTON COUNTY,County,TX,2003-12-31,137369.0,121561.0,268687.0,182225.0,126017.0,102252.0,81167.0,2003
TRINITY COUNTY,County,TX,2003-12-31,,,,,,,,2003
GALVESTON COUNTY,County,TX,2004-01-31,138141.0,122757.0,269970.0,182874.0,126748.0,102625.0,81814.0,2004
MONTGOMERY COUNTY,County,TX,2004-01-31,167056.0,106608.0,353923.0,208569.0,137006.0,101416.0,70685.0,2004
TRINITY COUNTY,County,TX,2004-01-31,,,,,,,,2004
HARRIS COUNTY,County,TX,2004-01-31,127045.0,94148.0,250508.0,159173.0,110985.0,85310.0,84754.0,2004
FORT BEND COUNTY,County,TX,2004-01-31,184840.0,127925.0,310254.0,210906.0,130776.0,115005.0,111065.0,2004
HARRIS COUNTY,County,TX,2004-02-29,128105.0,94561.0,252555.0,160415.0,111968.0,85810.0,84517.0,2004
FORT BEND COUNTY,County,TX,2004-02-29,185533.0,127754.0,311501.0,211588.0,131464.0,115322.0,109966.0,2004
