City,RegionType,StateName,Date,list_price_data,sale_data,inventory_d2p_data,inventory_4s_data,Year,Month,MonthNumeric,DayOfTheWeek,DayOfTheWeekNumeric
"Houston, TX",Msa,TX,2019-03-31,317434.0,240950.0,59.0,39319.0,2019,Mar,3,Sunday,0
"Houston, TX",Msa,TX,2020-09-30,336969.0,262000.0,51.0,34432.0,2020,Sep,9,Wednesday,3
"Houston, TX",Msa,TX,2019-04-30,322318.0,245000.0,55.0,41145.0,2019,Apr,4,Tuesday,2
"Houston, TX",Msa,TX,2019-09-30,308546.0,243000.0,63.0,43426.0,2019,Sep,9,Monday,1
"Houston, TX",Msa,TX,2019-05-31,323295.0,248000.0,53.0,42712.0,2019,May,5,Friday,5
"Houston, TX",Msa,TX,2020-12-31,332950.0,272000.0,48.0,27902.0,2020,Dec,12,Thursday,4
"Houston, TX",Msa,TX,2019-08-31,312292.0,249059.0,60.0,45807.0,2019,Aug,8,Saturday,6
"Houston, TX",Msa,TX,2019-06-30,321341.0,254000.0,52.0,45969.0,2019,Jun,6,Sunday,0
"Houston, TX",Msa,TX,2021-01-31,331990.0,261298.0,41.0,29577.0,2021,Jan,1,Sunday,0
"Houston, TX",Msa,TX,2021-03-31,349000.0,290000.0,27.0,27073.0,2021,Mar,3,Wednesday,3
"Houston, TX",Msa,TX,2019-12-31,301888.0,250590.0,78.0,37633.0,2019,Dec,12,Tuesday,2
"Houston, TX",Msa,TX,2018-03-31,327192.0,230000.0,56.0,36684.0,2018,Mar,3,Saturday,6
"Houston, TX",Msa,TX,2018-05-31,332085.0,242000.0,46.0,40677.0,2018,May,5,Thursday,4
"Houston, TX",Msa,TX,2018-04-30,331597.0,239990.0,49.0,38603.0,2018,Apr,4,Monday,1
"Houston, TX",Msa,TX,2018-06-30,331494.0,242000.0,46.0,41727.0,2018,Jun,6,Saturday,6
"Houston, TX",Msa,TX,2020-04-30,308546.0,252945.0,55.0,39098.0,2020,Apr,4,Thursday,4
"Houston, TX",Msa,TX,2020-06-30,323285.0,260000.0,58.0,40283.0,2020,Jun,6,Tuesday,2
"Houston, TX",Msa,TX,2020-10-31,337703.0,264186.0,47.0,34468.0,2020,Oct,10,Saturday,6
"Houston, TX",Msa,TX,2018-07-31,322220.0,243000.0,47.0,42536.0,2018,Jul,7,Tuesday,2
"Houston, TX",Msa,TX,2020-03-31,310380.0,248345.0,57.0,40887.0,2020,Mar,3,Tuesday,2
