SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-24-2021,Single Family Residential,13007 Porter Meadow Ln,Houston,TX,77014,269000,4,2.5,Silverglen North Sec 01,2928,6600,2003,8,92,48,Sold,,,http://www.redfin.com/TX/Houston/13007-Porter-Meadow-Ln-77014/home/29230835,HARMLS,36778163,N,Y,29.9747172,-95.4614198
PAST SALE,September-18-2020,Single Family Residential,1746 Bonnyton Ln,Houston,TX,77014,194900,4,2.5,Glen Abbey,1859,4400,2010,256,105,33,Sold,,,http://www.redfin.com/TX/Houston/1746-Bonnyton-Ln-77014/home/40207876,HARMLS,12858262,N,Y,29.986641,-95.4496278
PAST SALE,September-8-2020,Single Family Residential,13819 Bink Ct,Houston,TX,77014,230000,4,2.5,Briarchase,3008,9039,2002,266,76,39,Sold,,,http://www.redfin.com/TX/Houston/13819-Bink-Ct-77014/home/29141377,HARMLS,28499592,N,Y,29.9817595,-95.47944
PAST SALE,October-14-2016,Single Family Residential,13922 Crestbourne Ct,Houston,TX,77014,145000,3,2.0,Glen Abbey Sec 05,1510,4945,2008,1691,96,,Sold,,,http://www.redfin.com/TX/Houston/13922-Crestbourne-Ct-77014/home/29579095,HARMLS,15152204,N,Y,29.9845109,-95.4477855
PAST SALE,June-18-2016,Single Family Residential,14407 Fairbuff Ln,Houston,TX,77014,98500,3,2.5,Villas At Northpark Sec 02,1733,2910,2005,1809,57,14,Sold,,,http://www.redfin.com/TX/Houston/14407-Fairbuff-Ln-77014/home/29259988,HARMLS,83071094,N,Y,29.9956596,-95.4729378
PAST SALE,,Single Family Residential,13722 Lynx Dr,Houston,TX,77014,,3,2.0,,1116,4400,1998,,,,Sold,,,http://www.redfin.com/TX/Houston/13722-Lynx-Dr-77014/home/30582751,HARMLS,,N,Y,29.9831195,-95.4672758
PAST SALE,September-30-2016,Single Family Residential,2627 Aspen Tree,Houston,TX,77014,175000,4,2.5,Silverglen North,2251,6325,2014,1705,78,,Sold,,,http://www.redfin.com/TX/Houston/2627-Aspen-Tree-Ct-77014/home/108306816,HARMLS,96208095,N,Y,29.9743527,-95.4549912
PAST SALE,November-20-2016,Single Family Residential,15431 Bammel Oaks Ct,Houston,TX,77014,119000,3,2.5,Bammel Village Sec 02 Rep 01,2050,3364,2013,1654,58,366,Sold,,,http://www.redfin.com/TX/Houston/15431-Bammel-Oaks-Ct-77014/home/66036809,HARMLS,72000408,N,Y,29.9979328,-95.4653408
PAST SALE,June-27-2017,Townhouse,3222 Palston Bend Ln,Houston,TX,77014,116900,3,2.5,Villas AT Northpark,1684,3051,2006,1435,69,165,Sold,,,http://www.redfin.com/TX/Houston/3222-Palston-Bend-Ln-77014/home/29219368,HARMLS,81743499,N,Y,29.9949849,-95.4764499
PAST SALE,March-31-2017,Townhouse,3211 Palston Bend Ln,Houston,TX,77014,110000,3,2.5,Villas at Northpark,1686,2660,2005,1523,65,165,Sold,,,http://www.redfin.com/TX/Houston/3211-Palston-Bend-Ln-77014/home/29219250,HARMLS,73602284,N,Y,29.9947702,-95.4759277
PAST SALE,,Townhouse,14411 Mooreview Ln,Houston,TX,77014,,3,2.5,,1722,3275,2006,,,,Sold,,,http://www.redfin.com/TX/Houston/14411-Mooreview-Ln-77014/home/29259983,HARMLS,,N,Y,29.994173,-95.475545
PAST SALE,February-6-2018,Single Family Residential,14731 Treborway Dr,Houston,TX,77014,177900,4,2.5,Torrey Pines,2332,8491,1982,1211,76,42,Sold,,,http://www.redfin.com/TX/Houston/14731-Treborway-Dr-77014/home/30496680,HARMLS,20101646,N,Y,29.9883712,-95.4871822
PAST SALE,April-17-2018,Single Family Residential,13534 N Peachfield Cir,Houston,TX,77014,145000,3,2.0,Sableridge,1242,8991,1982,1141,117,38,Sold,,,http://www.redfin.com/TX/Houston/13534-N-Peachfield-Cir-77014/home/30496144,HARMLS,19752442,N,Y,29.9750405,-95.4840279
PAST SALE,July-19-2016,Single Family Residential,13522 N Peachfield Cir,Houston,TX,77014,73800,3,2.0,Sableridge,1889,6710,1983,1778,39,33,Sold,,,http://www.redfin.com/TX/Houston/13522-N-Peachfield-Cir-77014/home/30496145,HARMLS,90166286,N,Y,29.9747907,-95.4835363
PAST SALE,February-6-2017,Single Family Residential,14007 Kinsbourne Ct,Houston,TX,77014,155000,4,2.5,Glen Abbey,2370,4950,2006,1576,65,395,Sold,,,http://www.redfin.com/TX/Houston/14007-Kinsbourne-Ct-77014/home/29549182,HARMLS,96513964,N,Y,29.9848768,-95.4465573
PAST SALE,November-20-2017,Single Family Residential,15443 Bammel Oaks,Houston,TX,77014,150000,3,2.5,Bammel Village Sec 02 Rep 01,1960,3354,2013,1289,77,31,Sold,,,http://www.redfin.com/TX/Houston/15443-Bammel-Oaks-Ct-77014/home/66036806,HARMLS,51567475,N,Y,29.9981511,-95.4655046
PAST SALE,November-23-2016,Single Family Residential,13902 Tinsley Ct,Houston,TX,77014,169500,4,2.5,Glen Abbey Sec 3,2160,6484,2006,1651,78,400,Sold,,,http://www.redfin.com/TX/Houston/13902-Tinsley-Ct-77014/home/29550780,HARMLS,68209433,N,Y,29.9839434,-95.4457181
PAST SALE,August-17-2016,Single Family Residential,1619 Thornhollow Dr,Houston,TX,77014,175000,4,2.5,Glen Abbey Sec 4,2320,4400,2008,1749,75,,Sold,,,http://www.redfin.com/TX/Houston/1619-Thornhollow-Dr-77014/home/29588068,HARMLS,14545522,N,Y,29.9869726,-95.4470486
PAST SALE,February-23-2017,Single Family Residential,1758 Thornhollow Dr,Houston,TX,77014,163500,4,2.5,Glen Abbey Sec 5,2211,4808,2014,1559,74,33,Sold,,,http://www.redfin.com/TX/Houston/1758-Thornhollow-Dr-77014/home/43479234,HARMLS,47934786,N,Y,29.9873461,-95.4499963
PAST SALE,November-28-2017,Single Family Residential,15502 Kiplands Bend Dr,Houston,TX,77014,125000,4,2.5,Bammel Village,1477,5973,2013,1281,85,23,Sold,,,http://www.redfin.com/TX/Houston/15502-Kiplands-Bend-Dr-77014/home/66036737,HARMLS,7669967,N,Y,30.0009698,-95.4642965
PAST SALE,December-28-2017,Single Family Residential,3103 Atherton Canyon Ln,Houston,TX,77014,118000,3,2.5,Villas At Northpark Sec 2,1681,6069,2006,1251,70,165,Sold,,,http://www.redfin.com/TX/Houston/3103-Atherton-Canyon-Ln-77014/home/29259919,HARMLS,68191832,N,Y,29.9946316,-95.4741153
PAST SALE,October-27-2017,Single Family Residential,2646 Kiplands Ct,Houston,TX,77014,130000,4,2.5,Bammel Village Sec 02 Rep 01,1672,3675,2005,1313,78,31,Sold,,,http://www.redfin.com/TX/Houston/2646-Kiplands-Ct-77014/home/29355106,HARMLS,82779734,N,Y,30.0005212,-95.4667024
PAST SALE,April-26-2018,Single Family Residential,2623 Kiplands Way Dr,Houston,TX,77014,144900,3,2.5,Bammel Village Sec 02 Rep 01,1715,3360,2013,1132,84,31,Sold,,,http://www.redfin.com/TX/Houston/2623-Kiplands-Way-Dr-77014/home/66036721,HARMLS,92819478,N,Y,29.9998986,-95.4654329
PAST SALE,January-10-2018,Single Family Residential,2523 Kiplands Way Dr,Houston,TX,77014,149000,3,2.5,Bammel Village Sec 02 Rep 01,1970,3453,2013,1238,76,23,Sold,,,http://www.redfin.com/TX/Houston/2523-Kiplands-Way-Dr-77014/home/66036747,HARMLS,36026419,N,Y,30.0005143,-95.4646958
PAST SALE,June-12-2018,Single Family Residential,15538 Kiplands Bend Dr,Houston,TX,77014,143900,3,2.5,Bammel Village,1642,3520,2013,1085,88,31,Sold,,,http://www.redfin.com/TX/Houston/15538-Kiplands-Bend-Dr-77014/home/66036704,HARMLS,75570440,N,Y,30.0014895,-95.4650644
PAST SALE,April-30-2018,Single Family Residential,15546 Kiplands Bend Dr,Houston,TX,77014,152000,3,2.5,Bammel Village Sec 02 Rep 01,1991,3520,2013,1128,76,31,Sold,,,http://www.redfin.com/TX/Houston/15546-Kiplands-Bend-Dr-77014/home/66036709,HARMLS,22343137,N,Y,30.0015727,-95.4652282
PAST SALE,February-13-2018,Single Family Residential,15531 Kiplands Bend Dr,Houston,TX,77014,137000,3,2.5,Bammel Village Sec 02 Rep 01,1720,3360,2013,1204,80,31,Sold,,,http://www.redfin.com/TX/Houston/15531-Kiplands-Bend-Dr-77014/home/66036691,HARMLS,44739120,N,Y,30.0010217,-95.4652179
PAST SALE,September-18-2017,Single Family Residential,2626 Kiplands,Houston,TX,77014,109900,4,2.5,Bammel Village,1552,,2005,1352,71,360,Sold,,,http://www.redfin.com/TX/Houston/2626-Kiplands-Ct-77014/home/29365562,HARMLS,40879944,N,Y,30.0008117,-95.466211
PAST SALE,March-30-2018,Single Family Residential,15407 Bammel Fields Ct,Houston,TX,77014,150000,3,2.5,Bammel Village Sec 02 Rep 01,2128,6768,2013,1159,70,31,Sold,,,http://www.redfin.com/TX/Houston/15407-Bammel-Fields-Ct-77014/home/66036668,HARMLS,17226872,N,Y,29.9986592,-95.4638358
PAST SALE,December-29-2017,Single Family Residential,15435 Bammel Oaks Ct,Houston,TX,77014,145000,3,2.5,Bammel Village Sec 02 Rep 01,1762,3361,2013,1250,82,366,Sold,,,http://www.redfin.com/TX/Houston/15435-Bammel-Oaks-Ct-77014/home/66036808,HARMLS,84332458,N,Y,29.9980078,-95.4654329
PAST SALE,November-14-2017,Single Family Residential,1747 York Crk,Houston,TX,77014,174550,4,2.0,Glen Abbey Sec 06,1558,4400,2013,1295,112,33,Sold,,,http://www.redfin.com/TX/Houston/1747-York-Creek-Dr-77014/home/49742559,HARMLS,37560327,N,Y,29.9854203,-95.4497506
PAST SALE,,Townhouse,3018 Loganberry Park Ln,Houston,TX,77014,,3,2.5,,1636,2716,2003,,,,Sold,,,http://www.redfin.com/TX/Houston/3018-Loganberry-Park-Ln-77014/home/29219400,HARMLS,,N,Y,29.9964476,-95.4737467
