SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-13-2020,Single Family Residential,13003 Fox Brush Ln,Houston,TX,77041,319000,5,3.5,Eldridge Park,3882,10846,1994,505,82,47,Sold,,,http://www.redfin.com/TX/Houston/13003-Fox-Brush-Ln-77041/home/30642496,HARMLS,28881676,N,Y,29.8565376,-95.6031513
PAST SALE,July-31-2020,Single Family Residential,12630 Waterside Way,Houston,TX,77041,700000,5,5.0,Lakes On Eldridge,4092,14291,1997,305,171,117,Sold,,,http://www.redfin.com/TX/Houston/12630-Waterside-Way-77041/home/30660093,HARMLS,41055393,N,Y,29.8433173,-95.5987798
PAST SALE,March-4-2019,Single Family Residential,6227 Dove Fern Ct,Houston,TX,77041,234900,4,2.0,Eldridge Park,1824,6325,1999,820,129,47,Sold,,,http://www.redfin.com/TX/Houston/6227-Dove-Fern-Ct-77041/home/30643309,HARMLS,33978722,N,Y,29.8622139,-95.6037054
PAST SALE,November-4-2019,Single Family Residential,12915 Deer Cove Ln,Houston,TX,77041,250000,3,2.0,Eldridge Park,2110,5775,1995,575,118,,Sold,,,http://www.redfin.com/TX/Houston/12915-Deer-Cove-Ln-77041/home/30643274,HARMLS,8501631,N,Y,29.8615347,-95.6027203
PAST SALE,January-13-2017,Single Family Residential,13611 Blazey Dr,Houston,TX,77041,110000,2,2.0,Chimney Hills Sec 02,1248,7200,1982,1600,88,25,Sold,,,http://www.redfin.com/TX/Houston/13611-Blazey-Dr-77041/home/30405078,HARMLS,42474888,N,Y,29.8874706,-95.6152617
PAST SALE,November-2-2017,Single Family Residential,7543 Log Cradle,Houston,TX,77041,140000,3,2.0,Chimney Hill,1173,4830,1981,1307,119,,Sold,,,http://www.redfin.com/TX/Houston/7543-Log-Cradle-Dr-77041/home/30517815,HARMLS,90919606,N,Y,29.8892004,-95.6127162
PAST SALE,June-20-2017,Single Family Residential,4513 Hollow Hook Rd,Houston,TX,77041,175000,3,2.0,Spring Branch Villa,1753,17864,1960,1442,100,,Sold,,,http://www.redfin.com/TX/Houston/4513-Hollow-Hook-Rd-77041/home/30079683,HARMLS,47685604,N,Y,29.8364911,-95.5430877
PAST SALE,June-22-2018,Single Family Residential,6342 Collina Springs Ct,Houston,TX,77041,620000,4,3.5,Lakes On Eldridge North,4159,11314,2004,1075,149,119,Sold,,,http://www.redfin.com/TX/Houston/6342-Collina-Springs-Ct-77041/home/29243160,HARMLS,74660750,N,Y,29.8614319,-95.5881091
PAST SALE,June-15-2018,Single Family Residential,10323 Brickyard Ct,Houston,TX,77041,189999,3,2.5,Westbranch Sec 02 Pt Rep,1676,5040,1986,1082,113,23,Sold,,,http://www.redfin.com/TX/Houston/10323-Brickyard-Ct-77041/home/30572967,HARMLS,91875446,N,Y,29.8420397,-95.5483367
PAST SALE,,Single Family Residential,13414 Bridgepath Ln,Houston,TX,77041,,3,2.5,,1869,6300,1983,,,,Sold,,,http://www.redfin.com/TX/Houston/13414-Bridgepath-Ln-77041/home/30554909,HARMLS,,N,Y,29.8570768,-95.6116899
PAST SALE,June-22-2018,Single Family Residential,5202 Summer Snow Dr,Houston,TX,77041,425000,4,3.5,Twin Lakes,3218,22658,1995,1075,132,150,Sold,,,http://www.redfin.com/TX/Houston/5202-Summer-Snow-Dr-77041/home/30626970,HARMLS,34916643,N,Y,29.8429499,-95.6058605
PAST SALE,September-15-2017,Single Family Residential,13111 Mossy Bark Ln,Houston,TX,77041,235000,3,2.0,Eldridge Park,2363,9447,1997,1355,99,39,Sold,,,http://www.redfin.com/TX/Houston/13111-Mossy-Bark-Ln-77041/home/30642235,HARMLS,16808082,N,Y,29.8534681,-95.605409
PAST SALE,February-26-2018,Single Family Residential,5631 Heather Run,Houston,TX,77041,299999,4,3.5,Lakes On Eldridge Sec 02 Amd,2866,7914,1997,1191,105,122,Sold,,,http://www.redfin.com/TX/Houston/5631-Heather-Run-Dr-77041/home/30659717,HARMLS,57527950,N,Y,29.850358,-95.6001138
PAST SALE,December-29-2017,Single Family Residential,5307 Cedar Bend Crk,Houston,TX,77041,489000,4,3.5,Lakes On Eldridge Sec 06 Amd,4893,10223,2000,1250,100,108,Sold,,,http://www.redfin.com/TX/Houston/5307-Cedar-Bend-Crk-77041/home/30659782,HARMLS,11391364,N,Y,29.8440935,-95.6017351
PAST SALE,,Single Family Residential,12602 Sweet Birch Ln,Houston,TX,77041,,3,2.0,,2000,9532,2002,,,,Sold,,,http://www.redfin.com/TX/Houston/12602-Sweet-Birch-Ln-77041/home/29141405,HARMLS,,N,Y,29.8695933,-95.5975485
PAST SALE,,Single Family Residential,5411 Emerald Brk,Houston,TX,77041,,5,3.5,,3844,8643,1998,,,,Sold,,,http://www.redfin.com/TX/Houston/5411-Emerald-Brk-77041/home/30677275,HARMLS,,N,Y,29.8460561,-95.5915564
PAST SALE,December-5-2016,Single Family Residential,12207 Summerland Ridge Ln,Houston,TX,77041,400000,4,3.5,Lakes On Eldridge,3227,8760,1997,1639,124,122,Sold,,,http://www.redfin.com/TX/Houston/12207-Summerland-Ridge-Ln-77041/home/30677327,HARMLS,67159643,N,Y,29.8488611,-95.5928902
PAST SALE,February-24-2017,Single Family Residential,12803 Teal Oaks,Houston,TX,77041,274900,5,3.5,Mckendree Park,3672,7873,2003,1558,75,58,Sold,,,http://www.redfin.com/TX/Houston/12803-Teal-Oaks-Ln-77041/home/29248145,HARMLS,20824842,N,Y,29.8671435,-95.6006064
PAST SALE,April-24-2018,Single Family Residential,14002 Wheatbridge Dr,Houston,TX,77041,196000,4,2.5,Concord Bridge Sec 06,2509,6300,1992,1134,78,41,Sold,,,http://www.redfin.com/TX/Houston/14002-Wheatbridge-Dr-77041/home/30602950,HARMLS,11326039,N,Y,29.8605417,-95.6224059
