SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-30-2020,Vacant Land,11300 Hirsch Rd,Houston,TX,77016,89000,,,Edgeworth Place Sec 01,,21611,,428,,,Sold,,,http://www.redfin.com/TX/Houston/11300-Hirsch-Rd-77016/home/170583076,HARMLS,8728394,N,Y,29.8831723,-95.3090086
PAST SALE,May-22-2020,Vacant Land,7441 Caddo Rd,Houston,TX,77016,26500,,,Scenic Woods,,8143,,375,,,Sold,,,http://www.redfin.com/TX/Houston/7441-Caddo-Rd-77016/home/66058708,HARMLS,75565386,N,Y,29.857611,-95.293329
PAST SALE,August-13-2020,Vacant Land,10906 Hirsch Rd,Houston,TX,77016,1200000,,,J Callyhan,,913018,,292,,,Sold,,,http://www.redfin.com/TX/Houston/10906-Hirsch-Rd-77016/home/144623895,HARMLS,17488460,N,Y,29.8746237,-95.311615
PAST SALE,January-23-2019,Vacant Land,0 Justin St,Houston,TX,77016,35000,,,Mount Houston,,7250,,860,,,Sold,,,http://www.redfin.com/TX/HOUSTON/JUSTIN-ST-77016/home/29724821,HARMLS,66589591,N,Y,29.889849,-95.304398
PAST SALE,December-22-2016,Vacant Land,10907 Maple Leaf St,Houston,TX,77016,35000,,,Woodland Acres,,28785,,1622,,,Sold,,,http://www.redfin.com/TX/Houston/10907-Maple-Leaf-St-77016/home/29997470,HARMLS,20447461,N,Y,29.87392,-95.304985
PAST SALE,March-27-2018,Vacant Land,7743 Bretshire Dr,Houston,TX,77016,12865,,,Scenic Woods,,8520,,1162,,,Sold,,,http://www.redfin.com/TX/Houston/7743-Bretshire-Dr-77016/home/30083586,HARMLS,89990724,N,Y,29.854349,-95.287899
PAST SALE,August-16-2018,Vacant Land,11011 White Thorn St,Houston,TX,77016,39900,,,Armstrong Acres Sec 01,,12000,,1020,,,Sold,,,http://www.redfin.com/TX/Houston/11011-White-Thorn-St-77016/home/30192050,HARMLS,79298751,N,Y,29.875862,-95.306427
PAST SALE,September-2-2020,Vacant Land,10510 Wolbrook St,Houston,TX,77016,40000,,,Fontaine Place Sec 04,,7320,,272,,,Sold,,,http://www.redfin.com/TX/Houston/10510-Wolbrook-St-77016/home/43507521,HARMLS,53357228,N,Y,29.864647,-95.30558
PAST SALE,July-6-2020,Vacant Land,0 Bretshire Dr,Houston,TX,77016,18000,,,Calgary Woods,,8500,,330,,,Sold,,,http://www.redfin.com/TX/Houston/7030-Bretshire-Dr-77016/home/171581681,HARMLS,71001436,N,Y,29.854262,-95.301389
PAST SALE,October-6-2017,Vacant Land,9218 Pembrook St,Houston,TX,77016,16000,,,Barclay Place Sec 2,,8400,,1334,,,Sold,,,http://www.redfin.com/TX/Houston/9218-Pembrook-St-77016/home/29977650,HARMLS,42670463,N,Y,29.845518,-95.297647
PAST SALE,June-23-2020,Vacant Land,0 Sherbourne St,Houston,TX,77016,29500,,,Barclay Place Sec 2,,8400,,343,,,Sold,,,http://www.redfin.com/TX/HOUSTON/SHERBOURNE-ST-77016/home/29977640,HARMLS,44074553,N,Y,29.845748,-95.296801
PAST SALE,June-22-2018,Vacant Land,8315 Hoffman St,Houston,TX,77016,18000,,,Triangle Gardens Sec 03,,7440,,1075,,,Sold,,,http://www.redfin.com/TX/Houston/8315-Hoffman-St-77016/home/34277636,HARMLS,39085365,N,Y,29.836099,-95.312399
PAST SALE,November-9-2018,Vacant Land,0 Woodwick St,Houston,TX,77016,14900,,,Scenic Woods,,7000,,935,,,Sold,,,http://www.redfin.com/TX/HOUSTON/WOODWICK-ST-77016/home/30084034,HARMLS,16592363,N,Y,29.854702,-95.287353
PAST SALE,March-20-2019,Vacant Land,000 E Little York Rd,Houston,TX,77016,400000,,,Joseph Callyhan Abs 200,,188584,,804,,,Sold,,,http://www.redfin.com/TX/HOUSTON/E-LITTLE-YORK-RD-77016/home/29915234,HARMLS,84226909,N,Y,29.869424,-95.272025
PAST SALE,October-7-2019,Vacant Land,7754 Bretshire,Houston,TX,77016,14500,,,Scenic Woods,,4000,,603,,,Sold,,,http://www.redfin.com/TX/Houston/7754-Bretshire-Dr-77016/home/30085515,HARMLS,93521704,N,Y,29.8543303,-95.2872399
PAST SALE,,Single Family Residential,10536 Homestead Rd,Houston,TX,77016,,3,1.0,,1499,7605,1960,,,,Sold,,,http://www.redfin.com/TX/Houston/10536-Homestead-Rd-77016/home/30084567,HARMLS,,N,Y,29.8659102,-95.3002655
PAST SALE,June-27-2017,Single Family Residential,11007 Spottswood Dr,Houston,TX,77016,100000,3,1.0,Northwood Manor,894,5830,1960,1435,112,,Sold,,,http://www.redfin.com/TX/Houston/11007-Spottswood-Dr-77016/home/30265490,HARMLS,46193486,N,Y,29.8760899,-95.2914051
PAST SALE,November-23-2016,Single Family Residential,8906 Compton St,Houston,TX,77016,64900,3,1.5,Barclay Place Sec 01,1387,10725,1966,1651,47,,Sold,,,http://www.redfin.com/TX/Houston/8906-Compton-St-77016/home/29977416,HARMLS,5732842,N,Y,29.8419482,-95.3054518
PAST SALE,,Single Family Residential,10121 Rebel Rd,Houston,TX,77016,,3,1.5,,1105,7503,1964,,,,Sold,,,http://www.redfin.com/TX/Houston/10121-Rebel-Rd-77016/home/30084115,HARMLS,,N,Y,29.8591939,-95.2918338
PAST SALE,,Vacant Land,0 Tully St,Houston,TX,77016,,3,2.0,,1617,7150,2018,,,,Sold,,,http://www.redfin.com/TX/Houston/7633-Tully-St-77016/home/30084318,HARMLS,,N,Y,29.8667608,-95.2898502
PAST SALE,,Single Family Residential,6206 Hartwick Rd,Houston,TX,77016,,3,1.0,,1154,7168,1965,,,,Sold,,,http://www.redfin.com/TX/Houston/6206-Hartwick-Rd-77016/home/30146185,HARMLS,,N,Y,29.8850373,-95.2964272
PAST SALE,August-12-2016,Single Family Residential,10554 Wicklowe St,Houston,TX,77016,75000,3,2.0,Fontaine Place Sec 01,1262,8580,1950,1754,59,,Sold,,,http://www.redfin.com/TX/Houston/10554-Wicklowe-St-77016/home/30033426,HARMLS,46355401,N,Y,29.8665333,-95.309454
PAST SALE,August-9-2017,Single Family Residential,10426 Bucknell Rd,Houston,TX,77016,125000,3,2.0,Fontaine Place,1905,7200,1955,1392,66,,Sold,,,http://www.redfin.com/TX/Houston/10426-Bucknell-Rd-77016/home/30033660,HARMLS,16704823,N,Y,29.8624638,-95.3075345
PAST SALE,June-28-2016,Single Family Residential,7621 Charlesmont St,Houston,TX,77016,98000,3,3.0,Scenic Woods,1576,7200,1965,1799,62,,Sold,,,http://www.redfin.com/TX/Houston/7621-Charlesmont-St-77016/home/30084121,HARMLS,18433347,N,Y,29.8601411,-95.2906906
PAST SALE,September-13-2019,Vacant Land,10318 Barnham St,Houston,TX,77016,39500,,,Fontaine Place 2,,7800,,627,,,Sold,,,http://www.redfin.com/TX/Houston/10318-Barnham-St-77016/home/96100982,HARMLS,43716810,N,Y,29.8609093,-95.3114553
PAST SALE,November-21-2019,Vacant Land,0 Laura Koppe,Houston,TX,77016,18000,,,Laura Koppe Place,,9900,,558,,,Sold,,,http://www.redfin.com/TX/HOUSTON/LAURA-KOPPE-RD-77016/home/112828782,HARMLS,80174035,N,Y,29.839546,-95.323157
PAST SALE,September-28-2018,Vacant Land,8901 Homestead Rd,Houston,TX,77016,49800,,,Barclay Place Sec 01,,19601,,977,,,Sold,,,http://www.redfin.com/TX/Houston/8901-Homestead-Rd-77016/home/113430148,HARMLS,40055300,N,Y,29.841789,-95.302465
PAST SALE,May-28-2018,Vacant Land,5012 Keeland,Houston,TX,77016,16000,,,Forest Lawn,,5095,,1100,,,Sold,,,http://www.redfin.com/TX/Houston/5012-Keeland-St-77016/home/130601043,HARMLS,10074320,N,Y,29.837096,-95.3177098
PAST SALE,November-5-2019,Vacant Land,5015 Jones St,Houston,TX,77016,12000,,,Forest Lawn,,2556,,574,,,Sold,,,http://www.redfin.com/TX/Houston/5015-Jones-St-77016/home/144624026,HARMLS,55188025,N,Y,29.836606,-95.317491
PAST SALE,April-17-2019,Vacant Land,7914 Pointer St,Houston,TX,77016,18000,,,Denmark Place U/r,,4700,,776,,,Sold,,,http://www.redfin.com/TX/Houston/7914-Pointer-St-77016/home/29777810,HARMLS,31724455,N,Y,29.832003,-95.324114
PAST SALE,May-6-2019,Vacant Land,4301 Maldon Ct,Houston,TX,77016,14500,,,Trinity Gardens,,5400,,757,,,Sold,,,http://www.redfin.com/TX/Houston/4301-Maldon-Ct-77016/home/29941169,HARMLS,62977469,N,Y,29.8262256,-95.3265518
PAST SALE,August-29-2019,Vacant Land,7709 Peachtree St,Houston,TX,77016,33000,,,Trinity Gardens Sec 03,,12000,,642,,,Sold,,,http://www.redfin.com/TX/Houston/7709-Peachtree-St-77016/home/29941961,HARMLS,80578060,N,Y,29.830229,-95.315591
PAST SALE,April-27-2018,Vacant Land,5116 Denmark St,Houston,TX,77016,14500,,,Trinity Gardens Sec 03,,13000,,1131,,,Sold,,,http://www.redfin.com/TX/Houston/5116-Denmark-St-77016/home/29942019,HARMLS,49108553,N,Y,29.827158,-95.315776
PAST SALE,June-27-2019,Vacant Land,5902 Laura Koppe Rd,Houston,TX,77016,30000,,,Shadydale,,10950,,705,,,Sold,,,http://www.redfin.com/TX/Houston/5902-Laura-Koppe-Rd-77016/home/29962971,HARMLS,69032111,N,Y,29.84038,-95.3115229
PAST SALE,March-22-2019,Vacant Land,9142 Pembrook St,Houston,TX,77016,19900,,,Barclay Place Sec 02,,8400,,802,,,Sold,,,http://www.redfin.com/TX/Houston/9142-Pembrook-St-77016/home/29977066,HARMLS,66409676,N,Y,29.844417,-95.298792
PAST SALE,August-6-2018,Vacant Land,9134 Pembrook St,Houston,TX,77016,15000,,,Barclay Place Sec 02,,8400,,1030,,,Sold,,,http://www.redfin.com/TX/Houston/9134-Pembrook-St-77016/home/29977068,HARMLS,6946818,N,Y,29.8441695,-95.2992672
