SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-16-2018,Single Family Residential,334 N Burr St,Houston,TX,77011,274000,3,2.0,Williams,1274,5000,1930,1201,215,,Sold,,,http://www.redfin.com/TX/Houston/334-N-Burr-St-77011/home/29809680,HARMLS,72116661,N,Y,29.7497151,-95.3239136
PAST SALE,September-11-2020,Single Family Residential,218 Marsden St,Houston,TX,77011,325000,3,2.0,Oakland Place,1459,5880,1930,263,223,,Sold,,,http://www.redfin.com/TX/Houston/218-Marsden-St-77011/home/29726026,HARMLS,40040781,N,Y,29.7404894,-95.3132524
PAST SALE,June-8-2018,Single Family Residential,6824 Avenue Q,Houston,TX,77011,244900,3,2.0,Central Park,1370,5000,1930,1089,179,,Sold,,,http://www.redfin.com/TX/Houston/6824-Avenue-Q-77011/home/29770272,HARMLS,74846375,N,Y,29.7472597,-95.3007555
PAST SALE,January-15-2018,Multi-Family (2-4 Unit),5917 Sherman St,Houston,TX,77011,175000,0,,Eado East Downtown,1872,5000,1950,1233,93,,Sold,,,http://www.redfin.com/TX/Houston/5917-Sherman-St-77011/unit-1/home/29675066,HARMLS,95657990,N,Y,29.7423389,-95.3152232
PAST SALE,,Multi-Family (2-4 Unit),104 N Eastwood St,Houston,TX,77011,,2,1.0,,968,9720,1940,,,,Sold,,,http://www.redfin.com/TX/Houston/104-N-Eastwood-St-77011/home/29828537,HARMLS,,N,Y,29.7490056,-95.3292246
PAST SALE,,Single Family Residential,114 N Eastwood St,Houston,TX,77011,,3,1.0,,1124,4855,1940,,,,Sold,,,http://www.redfin.com/TX/Houston/114-N-Eastwood-St-77011/home/29828538,HARMLS,,N,Y,29.7492393,-95.3290203
PAST SALE,,Single Family Residential,7241 Sherman St,Houston,TX,77011,,,,,,,,,,,Sold,,,http://www.redfin.com/TX/Houston/7241-Sherman-St-77011/home/113064842,HARMLS,,N,Y,29.7357474,-95.2955097
PAST SALE,March-9-2017,Single Family Residential,7239 Sherman St,Houston,TX,77011,85000,3,1.0,Magnolia Park Sec 02,1472,2500,1930,1545,58,,Sold,,,http://www.redfin.com/TX/Houston/7239-Sherman-St-77011/home/29718302,HARMLS,46804014,N,Y,29.7359152,-95.2956514
PAST SALE,December-16-2016,Single Family Residential,7407 Canal St,Houston,TX,77011,119900,6,3.0,Magnolia Park,2176,6250,1930,1628,55,,Sold,,,http://www.redfin.com/TX/Houston/7407-Canal-St-77011/home/29719711,HARMLS,50807484,N,Y,29.7372766,-95.2920583
PAST SALE,February-17-2017,Single Family Residential,7132 Avenue O,Houston,TX,77011,59500,3,1.0,Magnolia Park Sec 02,1454,5000,1930,1565,41,,Sold,,,http://www.redfin.com/TX/Houston/7132-Avenue-O-77011/home/29720569,HARMLS,21285334,N,Y,29.7439143,-95.2950083
