SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-12-2018,Condo/Co-op,1602 Elgin St #7,Houston,TX,77004,175000,1,1.0,Park Lofts,658,15034,2004,993,266,144,Sold,,,http://www.redfin.com/TX/Houston/1602-Elgin-St-77004/unit-7/home/29312089,HARMLS,61150321,N,Y,29.7381164,-95.3718549
PAST SALE,May-31-2019,Single Family Residential,1401 Cleburne St,Houston,TX,77004,675000,4,3.5,Empire,3135,7500,1934,732,215,,Sold,,,http://www.redfin.com/TX/Houston/1401-Cleburne-St-77004/home/29669594,HARMLS,43187310,N,Y,29.7340578,-95.3776992
PAST SALE,October-16-2017,Townhouse,1830 Wheeler St,Houston,TX,77004,264900,2,2.0,Wheeler Street T H,1625,1400,2004,1324,163,83,Sold,,,http://www.redfin.com/TX/Houston/1830-Wheeler-Ave-77004/home/29284381,HARMLS,20381874,N,Y,29.729359,-95.3753788
PAST SALE,December-15-2017,Single Family Residential,3718 Eagle St,Houston,TX,77004,349000,3,2.5,College Oaks Sec 01,2141,6000,1950,1264,163,,Sold,,,http://www.redfin.com/TX/Houston/3718-Eagle-St-77004/home/29965739,HARMLS,88530967,N,Y,29.7204836,-95.3530481
PAST SALE,April-1-2019,Townhouse,2805 Chartres St,Houston,TX,77004,378000,3,3.5,Villas/chartres Amd,2492,2132,2006,792,152,129,Sold,,,http://www.redfin.com/TX/Houston/2805-Chartres-St-77004/home/29512065,HARMLS,50665618,N,Y,29.7384996,-95.3661649
PAST SALE,June-20-2019,Condo/Co-op,5925 Almeda Rd #12613,Houston,TX,77004,224900,1,1.0,Mosaic Residential North Condo,748,,2006,712,301,416,Sold,,,http://www.redfin.com/TX/Houston/5925-Almeda-Rd-77004/unit-12613/home/29610492,HARMLS,73590398,N,Y,29.714931,-95.38083
PAST SALE,May-19-2021,Single Family Residential,2910 Hutchins St,Houston,TX,77004,299900,2,2.0,Park Court,1305,5000,1952,13,230,,Sold,,,http://www.redfin.com/TX/Houston/2910-Hutchins-St-77004/home/29971532,HARMLS,95959550,N,Y,29.7370658,-95.3658016
PAST SALE,,Condo/Co-op,2902 Chenevert St Unit F,Houston,TX,77004,,2,2.5,,1547,,2005,,,,Sold,,,http://www.redfin.com/TX/Houston/2902-Chenevert-St-77004/unit-F/home/29407419,HARMLS,,N,Y,29.7392774,-95.3691131
PAST SALE,May-14-2021,Townhouse,1316 Anita St,Houston,TX,77004,315000,2,2.5,Austin Estates,1512,2080,1999,18,208,,Sold,,,http://www.redfin.com/TX/Houston/1316-Anita-St-77004/home/30693552,HARMLS,27019603,N,Y,29.740771,-95.3730736
PAST SALE,February-3-2017,Townhouse,1823 Wichita St,Houston,TX,77004,443000,3,3.5,Wichita Street Court,2293,1739,2013,1579,193,,Sold,,,http://www.redfin.com/TX/Houston/1823-Wichita-St-77004/home/52561848,HARMLS,33396290,N,Y,29.7252499,-95.3787917
PAST SALE,April-30-2018,Single Family Residential,3723 Wheeler St,Houston,TX,77004,285000,3,2.0,College Oaks Sec 01,1729,6000,1950,1128,165,,Sold,,,http://www.redfin.com/TX/Houston/3723-Wheeler-Ave-77004/home/29965714,HARMLS,95538488,N,Y,29.7200325,-95.3530481
PAST SALE,May-10-2019,Single Family Residential,1823 Drew St,Houston,TX,77004,380000,3,3.5,Chenevert Commons,1952,1427,2013,753,195,117,Sold,,,http://www.redfin.com/TX/Houston/1823-Drew-St-77004/home/66045578,HARMLS,38752348,N,Y,29.7397153,-95.367488
PAST SALE,August-14-2020,Single Family Residential,3406 La Branch St Unit D,Houston,TX,77004,399000,3,3.5,Carree Court,2062,1518,2014,291,194,22,Sold,,,http://www.redfin.com/TX/Houston/3406-La-Branch-St-77004/unit-D/home/66050527,HARMLS,71693958,N,Y,29.7378975,-95.374153
PAST SALE,May-5-2017,Townhouse,2302 Hadley St,Houston,TX,77003,300000,3,2.5,Holman Outlot 03,1512,1725,2011,1488,198,142,Sold,,,http://www.redfin.com/TX/Houston/2302-Hadley-St-77003/home/29693190,HARMLS,14876743,N,Y,29.740222,-95.361243
PAST SALE,May-1-2018,Townhouse,1616 Drew St,Houston,TX,77004,322000,2,2.0,Midtown Lofts Sec 04 Amd,1928,1840,2003,1127,167,33,Sold,,,http://www.redfin.com/TX/Houston/1616-Drew-St-77004/home/30724545,HARMLS,84188031,N,Y,29.740506,-95.369449
PAST SALE,May-16-2019,Single Family Residential,2906 Eagle St,Houston,TX,77004,265000,2,1.0,Washington Terrace,1201,5250,1945,747,221,,Sold,,,http://www.redfin.com/TX/Houston/2906-Eagle-St-77004/home/29893359,HARMLS,65252826,N,Y,29.7252567,-95.3655563
PAST SALE,March-28-2018,Townhouse,3102 Hamilton St,Houston,TX,77004,337000,3,3.5,Midtown Park Twnhms,2206,2206,2004,1161,153,,Sold,,,http://www.redfin.com/TX/Houston/3102-Hamilton-St-77004/home/29271492,HARMLS,49630255,N,Y,29.737449,-95.369231
PAST SALE,April-5-2019,Single Family Residential,2804 Ruth St,Houston,TX,77004,445000,3,2.5,Washington Terrace,2653,5775,1940,788,168,,Sold,,,http://www.redfin.com/TX/Houston/2804-Ruth-St-77004/home/29893455,HARMLS,43270074,N,Y,29.7232796,-95.3684004
PAST SALE,July-23-2020,Townhouse,2702 Crawford St,Houston,TX,77004,304000,2,2.5,Crawford Court,1594,2696,1999,313,191,142,Sold,,,http://www.redfin.com/TX/Houston/2702-Crawford-St-77004/home/30693862,HARMLS,27179321,N,Y,29.7414968,-95.3697441
PAST SALE,October-2-2020,Single Family Residential,1815 Wichita St,Houston,TX,77004,409000,3,3.5,Wichita Street Court,2158,2363,2013,242,190,,Sold,,,http://www.redfin.com/TX/Houston/1815-Wichita-St-77004/home/52561852,HARMLS,48397648,N,Y,29.7253175,-95.3790231
PAST SALE,July-16-2018,Townhouse,4715 San Jacinto St,Houston,TX,77004,418900,3,3.0,Caroline Manor,2561,1971,2007,1051,164,240,Sold,,,http://www.redfin.com/TX/Houston/4715-San-Jacinto-St-77004/home/29594929,HARMLS,29739728,N,Y,29.7305601,-95.3830254
PAST SALE,April-15-2021,Single Family Residential,2901 Delano St,Houston,TX,77004,274900,3,2.0,Holman Outlot,1202,5000,1936,47,229,,Sold,,,http://www.redfin.com/TX/Houston/2901-Delano-St-77004/home/29692996,HARMLS,72268355,N,Y,29.7340058,-95.3600376
