SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-12-2021,Single Family Residential,4319 Schuler St,Houston,TX,77007,395000,3,3.5,Enclave AT Schuler,2064,1668,2014,109,191,158,Sold,,,http://www.redfin.com/TX/Houston/4319-Schuler-St-77007/home/55547599,HARMLS,20526967,N,Y,29.7728274,-95.4047863
PAST SALE,,Townhouse,949 Patterson St,Houston,TX,77007,,2,2.5,,1983,1900,2002,,,,Sold,,,http://www.redfin.com/TX/Houston/949-Patterson-St-77007/home/29133001,HARMLS,,N,Y,29.770207,-95.406527
PAST SALE,February-5-2021,Townhouse,5248 Larkin St Unit A,Houston,TX,77007,349000,3,3.5,Larkin Landing,2258,1651,2007,116,155,46,Sold,,,http://www.redfin.com/TX/Houston/5248-Larkin-St-77007/unit-A/home/29247795,HARMLS,51442684,N,Y,29.7794111,-95.4155447
PAST SALE,August-16-2019,Single Family Residential,6105 Tyne St Unit A,Houston,TX,77007,699900,3,3.5,Rice Military,2967,2813,2016,655,236,,Sold,,,http://www.redfin.com/TX/Houston/6105-Tyne-St-77007/unit-A/home/110185024,HARMLS,5816883,N,Y,29.7745086,-95.4237797
PAST SALE,August-17-2018,Single Family Residential,1247 Bonner St Unit B,Houston,TX,77007,439000,3,3.5,Vistas De Sevilla,2317,1715,2014,1019,189,99,Sold,,,http://www.redfin.com/TX/Houston/1247B-Bonner-St-77007/unit-B/home/66048152,HARMLS,38058369,N,Y,29.7724551,-95.4033368
PAST SALE,March-26-2018,Single Family Residential,1249 Bonner St Unit A,Houston,TX,77007,444000,3,3.5,Rice Military,2317,1802,2014,1163,192,99,Sold,,,http://www.redfin.com/TX/Houston/1249-Bonner-St-77007/unit-A/home/66048151,HARMLS,9346205,N,Y,29.772453,-95.403411
PAST SALE,December-15-2017,Townhouse,315 Detering St,Houston,TX,77007,389000,2,2.5,Detering H E,1958,2309,1996,1264,199,,Sold,,,http://www.redfin.com/TX/Houston/315-Detering-St-77007/home/29810063,HARMLS,14357449,N,Y,29.7658091,-95.4165165
PAST SALE,May-24-2019,Single Family Residential,2415 Sherwin St,Houston,TX,77007,205000,2,1.0,Cottage Grove,672,2500,1930,739,305,,Sold,,,http://www.redfin.com/TX/Houston/2415-Sherwin-St-77007/home/29660327,HARMLS,81301494,N,Y,29.7809481,-95.4267466
PAST SALE,April-27-2020,Single Family Residential,4515 Nett St,Houston,TX,77007,469000,3,3.5,Washington T/h(n of Blossom)-8307.11,2200,2500,2014,400,213,,Sold,,,http://www.redfin.com/TX/Houston/4515-Nett-St-77007/home/110185471,HARMLS,34771440,N,Y,29.771759,-95.406816
PAST SALE,July-2-2018,Single Family Residential,1392 Studer St,Houston,TX,77007,339000,2,2.0,Memorial Park Village,1635,1876,2005,1065,207,115,Sold,,,http://www.redfin.com/TX/Houston/1392-Studer-St-77007/home/29341659,HARMLS,41253434,N,Y,29.7733903,-95.415289
PAST SALE,August-21-2020,Townhouse,2300 Union St Unit B,Houston,TX,77007,299900,2,2.0,Union Square,1644,16115,2004,284,182,328,Sold,,,http://www.redfin.com/TX/Houston/2300-Union-St-77007/unit-B/home/167876660,HARMLS,41188042,N,Y,29.7680298,-95.3818442
PAST SALE,June-3-2019,Townhouse,906 Reinicke St,Houston,TX,77007,374900,3,3.5,Lillian Plaza,2048,1912,2003,729,183,,Sold,,,http://www.redfin.com/TX/Houston/906-Reinicke-St-77007/home/29234622,HARMLS,4573088,N,Y,29.7698233,-95.4175356
PAST SALE,February-8-2019,Single Family Residential,225 Knox St,Houston,TX,77007,525000,3,3.5,Villas/pk Trls 01 Amd Pla,2152,2902,2009,844,244,,Sold,,,http://www.redfin.com/TX/Houston/225-Knox-St-77007/home/29623944,HARMLS,61824723,N,Y,29.763786,-95.421364
PAST SALE,June-4-2019,Townhouse,3905 Barnes St Unit B,Houston,TX,77007,359000,3,3.5,Barnes Batisses,2359,1400,2001,728,152,,Sold,,,http://www.redfin.com/TX/Houston/3905-Barnes-St-77007/unit-B/home/29165111,HARMLS,22917982,N,Y,29.768959,-95.399866
PAST SALE,June-5-2017,Townhouse,914 W Heights Hollow Ln,Houston,TX,77007,320000,2,2.0,Memorial Heights Sec 09,1656,1400,2003,1457,193,71,Sold,,,http://www.redfin.com/TX/Houston/914-W-Heights-Hollow-Ln-77007/home/29172431,HARMLS,33588914,N,Y,29.7680972,-95.3900768
PAST SALE,December-27-2019,Townhouse,4032 Center St,Houston,TX,77007,289000,2,2.0,Bonner Street Plaza,1296,1409,2005,522,223,117,Sold,,,http://www.redfin.com/TX/Houston/4032-Center-St-77007/home/29356496,HARMLS,14754459,N,Y,29.7711687,-95.4017678
PAST SALE,November-4-2020,Townhouse,5427 Nolda St,Houston,TX,77007,380000,3,2.5,Cottage Grove Sec 02,2616,2500,2001,209,145,,Sold,,,http://www.redfin.com/TX/Houston/5427-Nolda-St-77007/home/29237622,HARMLS,93778445,N,Y,29.775975,-95.419366
PAST SALE,August-30-2019,Townhouse,5545 Cornish St,Houston,TX,77007,339000,3,2.5,Cornish Street Terrace,2294,2011,2005,641,148,,Sold,,,http://www.redfin.com/TX/Houston/5545-Cornish-St-77007/home/29359379,HARMLS,5886304,N,Y,29.778123,-95.4218999
PAST SALE,August-30-2018,Single Family Residential,1320 Studer St,Houston,TX,77007,344900,2,2.0,Memorial Park Village,1635,2470,2005,1006,211,115,Sold,,,http://www.redfin.com/TX/Houston/1320-Studer-St-77007/home/29341642,HARMLS,48175384,N,Y,29.7727456,-95.4145116
