SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-24-2020,Single Family Residential,12119 Kemerton Dr,Houston,TX,77099,180000,3,2.5,Huntington Village Patio Homes,1893,5085,1978,185,95,29,Sold,,,http://www.redfin.com/TX/Houston/12119-Kemerton-Dr-77099/home/30366648,HARMLS,27611008,N,Y,29.6614757,-95.5973843
PAST SALE,November-17-2017,Single Family Residential,12615 S So Dairy Ashford,Houston,TX,77099,168000,4,2.5,Huntington Village Patio Homes,2440,5500,1978,1288,69,25,Sold,,,http://www.redfin.com/TX/Houston/12615-S-Dairy-Ashford-Rd-77099/home/30366707,HARMLS,69235254,N,Y,29.6648885,-95.5983078
PAST SALE,January-26-2018,Townhouse,12377 S Dairy Ashford Rd #2377,Houston,TX,77099,105000,3,2.5,Huntington Village Sec 03,1464,2007,1975,1218,72,275,Sold,,,http://www.redfin.com/TX/Houston/12377-S-Dairy-Ashford-Rd-77099/unit-2377/home/30286805,HARMLS,62127062,N,Y,29.668999,-95.6008141
PAST SALE,July-19-2016,Single Family Residential,12114 Green Glade Dr,Houston,TX,77099,159900,4,2.0,Huntington Village Sec 01,2424,7590,1977,1774,66,127,Sold,,,http://www.redfin.com/TX/Houston/12114-Green-Glade-Dr-77099/home/30266274,HARMLS,17493956,N,Y,29.6691744,-95.5951064
PAST SALE,June-1-2018,Single Family Residential,10619 Huntington Point Dr,Houston,TX,77099,132900,4,2.0,Huntington Village Sec 4,1963,7440,1975,1092,68,15,Sold,,,http://www.redfin.com/TX/Houston/10619-Huntington-Point-Dr-77099/home/32901792,HARMLS,13208648,N,Y,29.6651499,-95.6094127
PAST SALE,June-21-2018,Single Family Residential,12034 Spring Grove Dr,Houston,TX,77099,184900,3,2.5,Keegans Glen Sec 03,1992,6600,1981,1072,93,25,Sold,,,http://www.redfin.com/TX/Houston/12034-Spring-Grove-Dr-77099/home/30491495,HARMLS,41191406,N,Y,29.6711362,-95.5903047
PAST SALE,February-5-2021,Vacant Land,11638 Karlwood Ln,Houston,TX,77099,39000,,,Kirkwood Country,,4500,,112,,38,Sold,,,http://www.redfin.com/TX/Houston/11638-Karlwood-Ln-77099/home/43514958,HARMLS,16276676,N,Y,29.6784829,-95.5835131
PAST SALE,December-7-2017,Single Family Residential,11130 Bayou Place Dr,Houston,TX,77099,140000,3,2.0,Bayou Place R/p,1547,5000,1982,1268,90,,Sold,,,http://www.redfin.com/TX/Houston/11130-Bayou-Pl-Dr-77099/home/30411961,HARMLS,44678841,N,Y,29.6597069,-95.5766813
PAST SALE,August-30-2018,Condo/Co-op,10603 S Wilcrest Dr #1,Houston,TX,77099,40900,2,1.0,Meadow Chase Condo,870,106395,1978,1002,47,287,Sold,,,http://www.redfin.com/TX/Houston/10603-S-Wilcrest-Dr-77099/unit-1/home/30445623,HARMLS,59878476,N,Y,29.6665493,-95.5682044
PAST SALE,June-28-2017,Townhouse,12359 S Dairy Ashford Rd #2359,Houston,TX,77099,102000,3,2.5,Huntington Village Sec 03,1464,2189,1975,1430,70,250,Sold,,,http://www.redfin.com/TX/Houston/12359-S-Dairy-Ashford-Rd-77099/unit-2359/home/30286810,HARMLS,19998524,N,Y,29.6691657,-95.6010674
PAST SALE,August-1-2017,Single Family Residential,12047 Longbrook,Houston,TX,77099,154999,3,2.0,Keegans Glen,1880,,1981,1396,82,,Sold,,,http://www.redfin.com/TX/Houston/12047-Longbrook-Dr-77099/home/30491371,HARMLS,87183623,N,Y,29.6671039,-95.5939162
PAST SALE,,Single Family Residential,12127 Huntington Venture Dr,Houston,TX,77099,,4,2.5,,2309,5238,1978,,,,Sold,,,http://www.redfin.com/TX/Houston/12127-Huntington-Venture-Dr-77099/home/30366030,HARMLS,,N,Y,29.6651278,-95.5969123
PAST SALE,August-15-2016,Single Family Residential,12106 Kemerton Dr,Houston,TX,77099,123000,4,2.5,Huntington Village Patio Hom,2440,7003,1978,1747,50,,Sold,,,http://www.redfin.com/TX/Houston/12106-Kemerton-Dr-77099/home/30366747,HARMLS,71502576,N,Y,29.6619711,-95.5968713
PAST SALE,June-7-2017,Single Family Residential,12403 Huntington Field Dr,Houston,TX,77099,160000,4,2.0,Huntington Village Sec 03,2106,15707,1975,1451,76,13,Sold,,,http://www.redfin.com/TX/Houston/12403-Huntington-Field-Dr-77099/home/30286820,HARMLS,56017414,N,Y,29.6651842,-95.6052037
PAST SALE,April-30-2018,Single Family Residential,12723 W Club Ln,Houston,TX,77099,205000,4,2.0,Huntington Village,2950,7475,1975,1124,69,12,Sold,,,http://www.redfin.com/TX/Houston/12723-W-Club-Ln-77099/home/30310641,HARMLS,86621889,N,Y,29.6675497,-95.6111562
PAST SALE,November-29-2016,Single Family Residential,12610 Lima Dr,Houston,TX,77099,145000,3,2.0,Brookfield Sec 01 R/p A & Ex,1786,7935,1973,1641,81,212,Sold,,,http://www.redfin.com/TX/Houston/12610-Lima-Dr-77099/home/30271861,HARMLS,61100474,N,Y,29.6835325,-95.6023303
PAST SALE,July-27-2017,Single Family Residential,12326 Shannon,Houston,TX,77099,158000,3,2.0,Brookfield Sec 01,1786,7150,1974,1401,88,18,Sold,,,http://www.redfin.com/TX/Houston/12326-Shannon-Hills-Dr-77099/home/30272508,HARMLS,32657743,N,Y,29.6820538,-95.5978153
PAST SALE,September-1-2016,Townhouse,12500 Brookglade Cir #162,Houston,TX,77099,75000,2,2.5,New Leaf Place T/h Sec 03 U/,1196,1412,1983,1730,63,200,Sold,,,http://www.redfin.com/TX/Houston/12500-Brookglade-Cir-77099/unit-162/home/30317201,HARMLS,85823266,N,Y,29.6801663,-95.5999109
PAST SALE,March-31-2017,Townhouse,12300 Brookglade Cir #112,Houston,TX,77099,91000,3,2.5,LA Plaza Real,1330,1340,1982,1519,68,190,Sold,,,http://www.redfin.com/TX/Houston/12300-Brookglade-Cir-77099/unit-112/home/30317021,HARMLS,86263782,N,Y,29.6808608,-95.5963754
PAST SALE,August-16-2017,Townhouse,12400 Brookglade Cir #59,Houston,TX,77099,75000,2,2.5,La Plaza Real,1146,1300,1980,1381,65,191,Sold,,,http://www.redfin.com/TX/Houston/12400-Brookglade-Cir-77099/unit-59/home/30316529,HARMLS,19476484,N,Y,29.6802152,-95.5973469
PAST SALE,February-27-2017,Condo/Co-op,12615 Brookglade Cir #516,Houston,TX,77099,40000,2,1.0,New Leaf-brookglade Condo,852,,1981,1551,47,188,Sold,,,http://www.redfin.com/TX/Houston/12615-Brookglade-Cir-77099/unit-516/home/113029709,HARMLS,43169234,N,Y,29.6794682,-95.600555
PAST SALE,April-27-2017,Condo/Co-op,9797 Leawood Blvd #1003,Houston,TX,77099,49900,2,2.0,Leawood Condo Sec 02,1068,,1983,1492,47,281,Sold,,,http://www.redfin.com/TX/Houston/9797-Leawood-Blvd-77099/unit-1003/home/30575007,HARMLS,63177425,N,Y,29.6728321,-95.5764669
PAST SALE,August-4-2016,Condo/Co-op,9797 Leawood Blvd #305,Houston,TX,77099,50000,2,2.0,Leawood Condo Sec 02,1068,,1983,1758,47,285,Sold,,,http://www.redfin.com/TX/Houston/9797-Leawood-Blvd-77099/unit-305/home/30574988,HARMLS,80400204,N,Y,29.6728321,-95.5764669
PAST SALE,,Condo/Co-op,9700 Leawood Blvd #1606,Houston,TX,77099,,2,2.0,,1068,,1982,,,,Sold,,,http://www.redfin.com/TX/Houston/9700-Leawood-Blvd-77099/unit-1606/home/30560307,HARMLS,,N,Y,29.6732703,-95.5788443
PAST SALE,,Single Family Residential,10710 Bayou Place Ct,Houston,TX,77099,,3,2.5,,1413,5000,1982,,,,Sold,,,http://www.redfin.com/TX/Houston/10710-Bayou-Pl-Ct-77099/home/30412022,HARMLS,,N,Y,29.6590335,-95.5765992
PAST SALE,December-1-2017,Single Family Residential,12323 Magnolia Cyn,Houston,TX,77099,145000,3,2.0,Regents Village,1294,4950,2005,1274,112,35,Sold,,,http://www.redfin.com/TX/Houston/12323-Magnolia-Cyn-77099/home/29273420,HARMLS,44217284,N,Y,29.6783091,-95.5967481
PAST SALE,,Single Family Residential,12415 Lima Dr,Houston,TX,77099,,3,2.0,,1865,7150,1974,,,,Sold,,,http://www.redfin.com/TX/Houston/12415-Lima-Dr-77099/home/30271824,HARMLS,,N,Y,29.6831497,-95.5991082
PAST SALE,,Single Family Residential,11519 Radford,Houston,TX,77099,,3,2.0,,1724,6061,1972,,,,Sold,,,http://www.redfin.com/TX/Houston/11519-Radford-Ln-77099/home/32967181,HARMLS,,N,Y,29.6530282,-95.5809895
PAST SALE,August-31-2016,Single Family Residential,12406 Plumpoint Dr,Houston,TX,77099,175000,4,2.0,Huntington Village Sec 02,2344,7475,1970,1731,75,17,Sold,,,http://www.redfin.com/TX/Houston/12406-Plumpoint-Dr-77099/home/30266184,HARMLS,27445942,N,Y,29.6721145,-95.5992108
PAST SALE,,Condo/Co-op,9797 Leawood Blvd #1106,Houston,TX,77099,,2,2.0,,1068,,1983,,,,Sold,,,http://www.redfin.com/TX/Houston/9797-Leawood-Blvd-77099/unit-1106/home/30575047,HARMLS,,N,Y,29.6728321,-95.5764669
PAST SALE,September-7-2016,Townhouse,8511 Wilcrest Dr,Houston,TX,77099,64200,2,1.5,Glenshannon Sec 04 Pt 02,1364,1751,1973,1724,47,190,Sold,,,http://www.redfin.com/TX/Houston/8511-Wilcrest-Dr-77099/home/30275687,HARMLS,94046758,N,Y,29.6842075,-95.5691323
PAST SALE,March-2-2017,Condo/Co-op,9700 Leawood #1012,Houston,TX,77099,45000,2,2.0,Leawood,1068,,1983,1548,42,285,Sold,,,http://www.redfin.com/TX/Houston/9700-Leawood-Blvd-77099/unit-1012/home/30560167,HARMLS,80104722,N,Y,29.6732703,-95.5788443
PAST SALE,June-15-2017,Single Family Residential,12322 South Dr,Houston,TX,77099,140000,4,2.0,Huntington Village Sec 02,1901,7475,1972,1443,74,145,Sold,,,http://www.redfin.com/TX/Houston/12322-South-Dr-77099/home/30266078,HARMLS,16392654,N,Y,29.6750052,-95.5969944
