SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-26-2021,Single Family Residential,6826 Bellgreen Dr,Houston,TX,77030,975000,4,4.5,Southgate Sec 3 Rep 1 Pt,4012,3000,2017,6,243,,Sold,,,http://www.redfin.com/TX/Houston/6826-Bellgreen-Dr-77030/unit-16/home/112823355,HARMLS,4342981,N,Y,29.7070636,-95.4114021
PAST SALE,October-19-2018,Townhouse,1814 Staffordshire Cres,Houston,TX,77030,529000,4,3.5,Devonshire Crescent,2808,2299,1997,956,188,245,Sold,,,http://www.redfin.com/TX/Houston/1814-Staffordshire-Cres-77030/home/30685093,HARMLS,12570741,N,Y,29.704896,-95.392148
PAST SALE,January-11-2017,Multi-Family (2-4 Unit),2339 Addison Rd,Houston,TX,77030,545000,0,,Windermere,2744,5500,1940,1602,199,,Sold,,,http://www.redfin.com/TX/Houston/2339-Addison-Rd-77030/home/29873020,HARMLS,14426704,N,Y,29.7115919,-95.414307
PAST SALE,November-2-2018,Townhouse,1920 Woodbury St,Houston,TX,77030,519000,3,3.5,Cambridge Commons,2417,2278,2011,942,215,300,Sold,,,http://www.redfin.com/TX/Houston/1920-Woodbury-St-77030/home/45414378,HARMLS,4555950,N,Y,29.7042816,-95.3912562
PAST SALE,April-18-2017,Townhouse,6827 Staffordshire St,Houston,TX,77030,409900,3,3.5,Devonshire Place,2558,1457,1997,1505,160,239,Sold,,,http://www.redfin.com/TX/Houston/6827-Staffordshire-77030/home/30684482,HARMLS,72160032,N,Y,29.70518,-95.390731
PAST SALE,July-6-2020,Condo/Co-op,7575 Kirby Dr #2317,Houston,TX,77030,240000,2,2.0,7575 Kirby,1209,,2003,330,199,381,Sold,,,http://www.redfin.com/TX/Houston/7575-Kirby-Dr-77030/unit-2317/home/29345890,HARMLS,86204654,N,Y,29.6988057,-95.4177434
PAST SALE,March-23-2018,Single Family Residential,2135 Southgate,Houston,TX,77030,1549000,4,3.5,Southgate,4014,7475,1938,1166,386,,Sold,,,http://www.redfin.com/TX/Houston/2135-Southgate-Blvd-77030/home/29917185,HARMLS,37911541,N,Y,29.7090802,-95.4089678
PAST SALE,,Single Family Residential,2235 Southgate Blvd,Houston,TX,77030,,4,3.0,,3360,6325,1991,,,,Sold,,,http://www.redfin.com/TX/Houston/2235-Southgate-Blvd-77030/home/29917205,HARMLS,,N,Y,29.709047,-95.411443
PAST SALE,November-29-2017,Condo/Co-op,2001 Holcombe Blvd #601,Houston,TX,77030,505000,3,2.0,Spires Condo,1851,,1983,1280,273,1124,Sold,,,http://www.redfin.com/TX/Houston/2001-Holcombe-Blvd-77030/unit-601/home/30561944,HARMLS,87550095,N,Y,29.707175,-95.3881475
PAST SALE,February-9-2018,Condo/Co-op,7900 N Stadium Dr #110,Houston,TX,77030,122500,1,1.0,Briar Green Condo Ph 01,696,,1979,1208,176,250,Sold,,,http://www.redfin.com/TX/Houston/7900-N-Stadium-Dr-77030/unit-110/home/30458213,HARMLS,12277440,N,Y,29.6954398,-95.4087707
PAST SALE,May-23-2017,Condo/Co-op,7900 N Stadium Dr #56,Houston,TX,77030,149900,2,1.0,Briar Green Condo Ph 01,972,,1979,1470,154,315,Sold,,,http://www.redfin.com/TX/Houston/7900-N-Stadium-Dr-77030/unit-56/home/30458156,HARMLS,11528974,N,Y,29.6954398,-95.4087707
PAST SALE,August-25-2017,Condo/Co-op,7950 N Stadium #198,Houston,TX,77030,129000,2,1.0,Briar Green Condo,972,,1980,1376,133,,Sold,,,http://www.redfin.com/TX/Houston/7950-N-Stadium-Dr-77030/unit-198/home/30457896,HARMLS,63550288,N,Y,29.6943819,-95.40921
PAST SALE,July-7-2017,Condo/Co-op,2209 Braeswood Blvd Unit 31B,Houston,TX,77030,185000,2,2.0,The Braeswood Condo,1177,,1981,1425,157,375,Sold,,,http://www.redfin.com/TX/Houston/2209-S-Braeswood-Blvd-77030/unit-31B/home/30535287,HARMLS,33478144,N,Y,29.6965768,-95.4102588
PAST SALE,September-29-2017,Single Family Residential,2315 Watts St,Houston,TX,77030,999500,4,2.5,Windermere,2479,5300,1940,1341,403,,Sold,,,http://www.redfin.com/TX/Houston/2315-Watts-St-77030/home/29873003,HARMLS,68306754,N,Y,29.7108183,-95.413366
PAST SALE,March-31-2017,Condo/Co-op,2425 Underwood #156,Houston,TX,77030,129000,1,1.0,Brentwood,860,,1977,1523,150,293,Sold,,,http://www.redfin.com/TX/Houston/2425-Underwood-St-77030/unit-156/home/30392568,HARMLS,10418103,N,Y,29.6994323,-95.4154322
PAST SALE,,Single Family Residential,2208 Addison Rd,Houston,TX,77030,,3,1.0,,1843,6960,1939,,,,Sold,,,http://www.redfin.com/TX/Houston/2208-Addison-Rd-77030/home/29916213,HARMLS,,N,Y,29.7120212,-95.4104202
PAST SALE,May-14-2018,Condo/Co-op,2255 Braeswood Park Dr #147,Houston,TX,77030,149900,1,1.0,Braeswood Park Condos,774,428629,1983,1114,194,316,Sold,,,http://www.redfin.com/TX/Houston/2255-Braeswood-Park-Dr-77030/unit-147/home/29422460,HARMLS,9993388,N,Y,29.6946073,-95.4111023
PAST SALE,June-25-2018,Townhouse,2255 Braeswood Park Dr #110,Houston,TX,77030,205000,2,2.0,Braeswood Park Condos,1370,428629,1983,1072,150,393,Sold,,,http://www.redfin.com/TX/Houston/2255-Braeswood-Park-Dr-77030/unit-110/home/29422292,HARMLS,79295594,N,Y,29.6946073,-95.4111023
PAST SALE,June-29-2018,Condo/Co-op,2255 Braeswood Park Dr #136,Houston,TX,77030,149900,1,1.0,Braeswood Park Condos,774,428629,1983,1068,194,315,Sold,,,http://www.redfin.com/TX/Houston/2255-Braeswood-Park-Dr-77030/unit-136/home/29422448,HARMLS,27664988,N,Y,29.6946073,-95.4111023
PAST SALE,October-27-2017,Single Family Residential,2310 Dryden Rd,Houston,TX,77030,730000,2,4.0,Windermere,2965,6325,1938,1313,246,,Sold,,,http://www.redfin.com/TX/Houston/2310-Dryden-Rd-77030/home/29872851,HARMLS,69814074,N,Y,29.7137106,-95.4132432
PAST SALE,April-4-2018,Single Family Residential,2329 Blue Bonnet Blvd,Houston,TX,77030,1050000,4,2.5,Braeswood,2650,17290,1929,1154,396,,Sold,,,http://www.redfin.com/TX/Houston/2329-Blue-Bonnet-Blvd-77030/home/29896506,HARMLS,11020558,N,Y,29.7008174,-95.411893
PAST SALE,June-28-2017,Condo/Co-op,7900 N Stadium Dr #120,Houston,TX,77030,124900,1,1.0,Briar Green Condo,729,,1979,1434,171,282,Sold,,,http://www.redfin.com/TX/Houston/7900-N-Stadium-Dr-77030/unit-120/home/30458223,HARMLS,34441454,N,Y,29.6954398,-95.4087707
PAST SALE,May-23-2018,Multi-Family (2-4 Unit),2011 Sheridan St,Houston,TX,77030,799900,0,,Southgate Sec 03,4001,8400,1947,1105,200,,Sold,,,http://www.redfin.com/TX/Houston/2011-Sheridan-St-77030/home/113971741,HARMLS,40370964,N,Y,29.7077431,-95.4057972
PAST SALE,December-18-2017,Condo/Co-op,7575 Kirby Dr #1404,Houston,TX,77030,175000,1,1.0,7575 Kirby,838,,2003,1261,209,267,Sold,,,http://www.redfin.com/TX/Houston/7575-Kirby-Dr-77030/unit-1404/home/29346031,HARMLS,94945274,N,Y,29.6988057,-95.4177434
PAST SALE,February-16-2018,Condo/Co-op,7575 Kirby Dr #1106,Houston,TX,77030,185000,1,1.0,7575 Kirby,1024,,2003,1201,181,337,Sold,,,http://www.redfin.com/TX/Houston/7575-Kirby-Dr-77030/unit-1106/home/29346120,HARMLS,926514,N,Y,29.6988057,-95.4177434
PAST SALE,February-20-2018,Single Family Residential,2503 Gramercy,Houston,TX,77030,829000,4,3.0,Braeswood,2912,10710,1952,1197,285,,Sold,,,http://www.redfin.com/TX/Houston/2503-Gramercy-St-77030/home/29896611,HARMLS,73258946,N,Y,29.704158,-95.4168234
PAST SALE,April-26-2018,Single Family Residential,2429 Wordsworth St,Houston,TX,77030,834900,4,2.5,Brantwood,2487,6600,1940,1132,336,,Sold,,,http://www.redfin.com/TX/Houston/2429-Wordsworth-St-77030/home/29904985,HARMLS,10557783,N,Y,29.7084841,-95.4163937
PAST SALE,January-10-2018,Single Family Residential,2530 Wordsworth St,Houston,TX,77030,650000,4,3.0,Brantwood,2652,6937,1940,1238,245,,Sold,,,http://www.redfin.com/TX/Houston/2530-Wordsworth-St-77030/home/29904975,HARMLS,19671042,N,Y,29.7089102,-95.4181123
PAST SALE,June-29-2018,Single Family Residential,2510 Addison Rd,Houston,TX,77030,1089000,3,2.0,Wessex,2098,5750,1956,1068,519,,Sold,,,http://www.redfin.com/TX/Houston/2510-Addison-Rd-77030/home/29920140,HARMLS,58006603,N,Y,29.711978,-95.4170075
PAST SALE,May-29-2018,Single Family Residential,2420 Dryden Rd,Houston,TX,77030,995000,3,2.5,Wessex Rev,2268,6900,1940,1099,439,,Sold,,,http://www.redfin.com/TX/Houston/2420-Dryden-Rd-77030/home/29920202,HARMLS,58173448,N,Y,29.7136472,-95.4159027
PAST SALE,,Single Family Residential,2427 Addison Rd,Houston,TX,77030,,3,3.5,,2696,8700,1940,,,,Sold,,,http://www.redfin.com/TX/Houston/2427-Addison-Rd-77030/home/29920113,HARMLS,,N,Y,29.7115135,-95.4162301
PAST SALE,October-25-2019,Condo/Co-op,7575 Kirby Dr #3301,Houston,TX,77030,245000,2,2.0,7575 Kirby,1209,,2003,585,203,381,Sold,,,http://www.redfin.com/TX/Houston/7575-Kirby-Dr-77030/unit-3301/home/29345804,HARMLS,90626314,N,Y,29.6988057,-95.4177434
PAST SALE,November-2-2020,Condo/Co-op,7575 Kirby Dr #2302,Houston,TX,77030,219900,2,2.0,7575 Kirby,1208,,2003,211,182,402,Sold,,,http://www.redfin.com/TX/Houston/7575-Kirby-Dr-77030/unit-2302/home/29298762,HARMLS,21170464,N,Y,29.6988057,-95.4177434
