SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,4106 Balmorhea Ave,Houston,TX,77039,,3,1.5,,1048,6552,1980,,,,Sold,,,http://www.redfin.com/TX/Houston/4106-Balmorhea-Ave-77039/home/30405299,HARMLS,,N,Y,29.9148186,-95.3334737
PAST SALE,,Single Family Residential,5611 Daun St,Houston,TX,77039,,3,1.0,,1264,17400,1960,,,,Sold,,,http://www.redfin.com/TX/Houston/5611-Daun-St-77039/home/30012167,HARMLS,,N,Y,29.8929941,-95.3081471
PAST SALE,September-26-2016,Single Family Residential,2603 Balmorhea Ave,Houston,TX,77039,76000,3,2.0,Castlewood Tr B U/r,1688,8800,1968,1709,45,,Sold,,,http://www.redfin.com/TX/Houston/2603-Balmorhea-Ave-77039/home/30185165,HARMLS,58307041,N,Y,29.9149172,-95.3455281
PAST SALE,,Single Family Residential,2203 Melissa,Houston,TX,77039,,3,1.0,,1008,8100,1950,,,,Sold,,,http://www.redfin.com/TX/Houston/2203-Melissa-St-77039/home/30064304,HARMLS,,N,Y,29.9270814,-95.3521898
PAST SALE,December-7-2017,Single Family Residential,12410 Sudeley Ln,Houston,TX,77039,134000,3,1.5,High Meadows Sec 08,1495,6448,1973,1272,90,,Sold,,,http://www.redfin.com/TX/Houston/12410-Sudeley-Ln-77039/home/30278770,HARMLS,12994535,N,Y,29.904678,-95.3447108
PAST SALE,,Single Family Residential,12411 Deergrove St,Houston,TX,77039,,4,2.5,,1605,5720,1972,,,,Sold,,,http://www.redfin.com/TX/Houston/12411-Deergrove-St-77039/home/30278776,HARMLS,,N,Y,29.9040621,-95.344343
PAST SALE,September-19-2016,Single Family Residential,1006 Verhalen,Houston,TX,77039,50000,3,2.0,Greenwood Place,1754,9720,1972,1716,29,,Sold,,,http://www.redfin.com/TX/Houston/1006-Verhalen-Ave-77039/home/30301751,HARMLS,80532740,N,Y,29.9150816,-95.3736922
PAST SALE,June-15-2018,Single Family Residential,4915 Otterbury Dr,Houston,TX,77039,139900,3,2.0,Eastex Fwy Forest Sec 01,1710,6600,1962,1082,82,,Sold,,,http://www.redfin.com/TX/Houston/4915-Otterbury-Dr-77039/home/30148081,HARMLS,86148716,N,Y,29.9046493,-95.3180518
PAST SALE,November-20-2017,Townhouse,12343 W Village Dr Unit A,Houston,TX,77039,35000,2,2.0,Pine Village North T/h Sec 0,1704,1406,1979,1289,21,168,Sold,,,http://www.redfin.com/TX/Houston/12343-W-Village-Dr-77039/unit-A/home/30304634,HARMLS,21149645,N,Y,29.9050064,-95.3064494
PAST SALE,March-29-2018,Townhouse,12318 Wild Pine Dr Unit C,Houston,TX,77039,59900,2,2.0,Pine Village North T/h,1533,2346,1979,1160,39,167,Sold,,,http://www.redfin.com/TX/Houston/12318-Wild-Pine-Dr-77039/unit-C/home/30305104,HARMLS,31143171,N,Y,29.902319,-95.303067
PAST SALE,April-2-2018,Single Family Residential,14522 Reeveston Rd,Houston,TX,77039,179000,3,1.5,Aldine Gardens Sec 01,1376,23379,1962,1156,130,,Sold,,,http://www.redfin.com/TX/Houston/14522-Reeveston-Rd-77039/home/29647714,HARMLS,73580052,N,Y,29.927138,-95.367595
PAST SALE,May-4-2018,Single Family Residential,3714 Marquita Ln,Houston,TX,77039,127500,3,1.5,High Meadows,990,6930,1968,1124,129,,Sold,,,http://www.redfin.com/TX/Houston/3714-Marquita-Ln-77039/home/30223573,HARMLS,5124291,N,Y,29.9006339,-95.3355166
PAST SALE,June-28-2018,Single Family Residential,12714 Ponder Ln,Houston,TX,77039,120000,4,2.5,High Meadows Sec 05,1464,7280,1970,1069,82,,Sold,,,http://www.redfin.com/TX/Houston/12714-Ponder-Ln-77039/home/30239802,HARMLS,38525065,N,Y,29.9072027,-95.3268142
PAST SALE,April-28-2017,Single Family Residential,4618 Sandydale Ln,Houston,TX,77039,150000,3,2.0,Fairgreen Sec 04,2025,6930,1971,1495,74,,Sold,,,http://www.redfin.com/TX/Houston/4618-Sandydale-Ln-77039/home/30261912,HARMLS,17538347,N,Y,29.9064493,-95.3253843
PAST SALE,December-29-2017,Single Family Residential,12515 Boreas Dr,Houston,TX,77039,127500,3,2.0,Eastex Fwy Forest,1376,7345,1960,1250,93,,Sold,,,http://www.redfin.com/TX/Houston/12515-Boreas-Dr-77039/home/30150541,HARMLS,28278871,N,Y,29.9057903,-95.322729
PAST SALE,June-15-2018,Single Family Residential,3903 Bridgedale Dr,Houston,TX,77039,150000,4,2.0,Fairgreen,1890,6448,2001,1082,79,12,Sold,,,http://www.redfin.com/TX/Houston/3903-Bridgedale-Dr-77039/home/30405836,HARMLS,97509792,N,Y,29.9166965,-95.3349446
PAST SALE,September-21-2017,Single Family Residential,2606 Sandydale Ln,Houston,TX,77039,135000,3,1.5,Holston Place,1555,44000,1957,1349,87,,Sold,,,http://www.redfin.com/TX/Houston/2606-Sandydale-Ln-77039/home/30132056,HARMLS,64630402,N,Y,29.9060731,-95.3447516
PAST SALE,December-29-2017,Single Family Residential,1211 Balmorhea Ave,Houston,TX,77039,155000,3,2.0,Aldine Forest R/p,1793,7038,1973,1250,86,,Sold,,,http://www.redfin.com/TX/Houston/1211-Balmorhea-Ave-77039/home/30300468,HARMLS,8237245,N,Y,29.9149886,-95.3671098
PAST SALE,June-22-2018,Single Family Residential,12037 Eastex Fwy,Houston,TX,77039,220000,4,2.0,Hillside Gdns,,81400,1980,1075,,,Sold,,,http://www.redfin.com/TX/Houston/12037-Eastex-Fwy-77039/home/66054574,HARMLS,90793515,N,Y,29.9008178,-95.3140201
PAST SALE,March-19-2018,Townhouse,5810 Twisted Pine Ct Unit E,Houston,TX,77039,45000,2,2.5,Pine Village North T/h Sec 0,1274,1359,1979,1170,35,167,Sold,,,http://www.redfin.com/TX/Houston/5810-Twisted-Pine-Ct-77039/unit-E/home/173686654,HARMLS,11357491,N,Y,29.9022983,-95.30307
PAST SALE,February-23-2018,Townhouse,5791 Easthampton Dr Unit B,Houston,TX,77039,34900,2,1.0,Pine Village North T/h Sec 0,1056,2156,1979,1194,33,168,Sold,,,http://www.redfin.com/TX/Houston/5791-Easthampton-Dr-77039/unit-B/home/30304877,HARMLS,61723313,N,Y,29.902172,-95.3053769
PAST SALE,July-6-2017,Single Family Residential,2822 Anice St,Houston,TX,77039,175000,3,2.0,Castlewood,1903,18060,1977,1426,92,,Sold,,,http://www.redfin.com/TX/Houston/2822-Anice-St-77039/home/30224724,HARMLS,95220303,N,Y,29.9085401,-95.3422384
PAST SALE,July-9-2018,Single Family Residential,5034 Hollybrook Ln,Houston,TX,77039,99999,3,2.0,Fairgreen Sec 03,1740,8840,1969,1058,57,,Sold,,,http://www.redfin.com/TX/Houston/5034-Hollybrook-Ln-77039/home/30232285,HARMLS,13196816,N,Y,29.9090138,-95.31652
PAST SALE,December-20-2017,Single Family Residential,4011 Balmorhea Ave,Houston,TX,77039,58000,3,1.5,Fairgreen Sec 05,1320,6552,1980,1259,44,12,Sold,,,http://www.redfin.com/TX/Houston/4011-Balmorhea-Ave-77039/home/30405294,HARMLS,12503259,N,Y,29.9151742,-95.333872
