SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-1-2018,Townhouse,807 Saulnier St,Houston,TX,77019,299900,2,2.0,Robin Street Square,1779,1886,2004,1188,169,28,Sold,,,http://www.redfin.com/TX/Houston/807-Saulnier-St-77019/home/29193738,HARMLS,47780304,N,Y,29.7569393,-95.3762681
PAST SALE,April-19-2019,Condo/Co-op,1406 Columbus St #102,Houston,TX,77019,264000,1,1.5,Columbus Flats Condo,1206,14037,2006,774,219,316,Sold,,,http://www.redfin.com/TX/Houston/1406-Columbus-St-77019/unit-102/home/29615510,HARMLS,17387653,N,Y,29.7546458,-95.3915791
PAST SALE,July-13-2020,Condo/Co-op,1601 W Webster St #10,Houston,TX,77019,339000,2,2.0,West Webster Lofts,1754,35181,1998,323,193,333,Sold,,,http://www.redfin.com/TX/Houston/1601-W-Webster-St-77019/unit-10/home/29192551,HARMLS,9909300,N,Y,29.7519368,-95.3838462
PAST SALE,July-30-2018,Single Family Residential,2014 Dunlavy St,Houston,TX,77006,400000,2,2.0,Hyde Park Main Sec 02,1409,4500,1922,1037,284,,Sold,,,http://www.redfin.com/TX/Houston/2014-Dunlavy-St-77006/home/29815782,HARMLS,43652232,N,Y,29.74767,-95.4023609
PAST SALE,June-3-2019,Condo/Co-op,2111 Welch St Unit B112,Houston,TX,77019,299000,2,2.0,The Renaissance At River Oaks,1252,5871,1992,729,239,527,Sold,,,http://www.redfin.com/TX/Houston/2111-Welch-St-77019/unit-B112/home/29159821,HARMLS,50971659,N,Y,29.7473031,-95.4119135
PAST SALE,October-1-2020,Single Family Residential,3840 Del Monte Dr,Houston,TX,77019,2799000,3,3.5,River Oaks,3828,11970,1947,243,731,175,Sold,,,http://www.redfin.com/TX/Houston/3840-Del-Monte-Dr-77019/home/29883088,HARMLS,50706064,N,Y,29.749789,-95.44099
PAST SALE,November-3-2020,Townhouse,1123 W Gray St,Houston,TX,77019,399000,3,2.5,Rosemont Heights Ext,2448,2600,1998,210,163,,Sold,,,http://www.redfin.com/TX/Houston/1123-W-Gray-St-77019/home/30696965,HARMLS,70388387,N,Y,29.7531497,-95.3930731
PAST SALE,November-7-2018,Townhouse,2213 Dunraven Ln,Houston,TX,77019,999000,3,3.5,Glendower Court-park 01,4128,3000,2000,937,242,63,Sold,,,http://www.redfin.com/TX/Houston/2213-Dunraven-Ln-77019/home/30716893,HARMLS,6901325,N,Y,29.7437657,-95.4141331
PAST SALE,June-20-2019,Single Family Residential,1810 Dunlavy St,Houston,TX,77006,489900,2,2.0,Windsor Place,1537,5000,1938,712,319,,Sold,,,http://www.redfin.com/TX/Houston/1810-Dunlavy-St-77006/home/29816096,HARMLS,55268303,N,Y,29.7497866,-95.4024427
PAST SALE,April-18-2019,Single Family Residential,420 W Saulnier St,Houston,TX,77019,485000,3,2.0,Saulnier Manors,2270,2440,2004,775,214,,Sold,,,http://www.redfin.com/TX/Houston/420-W-Saulnier-St-77019/home/29328891,HARMLS,61590315,N,Y,29.75711,-95.3873398
PAST SALE,December-14-2020,Townhouse,920 Ruthven St,Houston,TX,77019,304900,2,2.0,Andrews Street T/h,1762,1526,2002,169,173,,Sold,,,http://www.redfin.com/TX/Houston/920-Ruthven-St-77019/home/29176706,HARMLS,98046452,N,Y,29.755292,-95.3776
PAST SALE,December-3-2019,Townhouse,2008 Fairview Ave,Houston,TX,77019,329000,2,2.5,2300 Driscoll Th,1720,1008,1984,546,191,,Sold,,,http://www.redfin.com/TX/Houston/2008-Fairview-St-77019/home/29730695,HARMLS,26107437,N,Y,29.74487,-95.4082561
PAST SALE,August-15-2019,Townhouse,2413 Park St,Houston,TX,77019,549900,3,3.5,Hyde Park Heights,2798,2500,1999,656,197,,Sold,,,http://www.redfin.com/TX/Houston/2413-Park-St-77019/home/30711896,HARMLS,22875205,N,Y,29.74408,-95.402665
PAST SALE,July-20-2020,Townhouse,1504 Cleveland St,Houston,TX,77019,300000,2,2.0,Cleveland Street T H,1707,2371,2003,316,176,,Sold,,,http://www.redfin.com/TX/Houston/1504-Cleveland-St-77019/home/29143391,HARMLS,92510003,N,Y,29.7546124,-95.3824835
PAST SALE,June-25-2020,Townhouse,1510 W Webster St,Houston,TX,77019,335000,2,2.0,Sutton-gillette T/h,2080,1400,2000,341,161,70,Sold,,,http://www.redfin.com/TX/Houston/1510-W-Webster-St-77019/home/30715557,HARMLS,44051109,N,Y,29.7521806,-95.3826122
PAST SALE,June-26-2020,Townhouse,1914 W Mckinney St Unit B,Houston,TX,77019,699900,3,2.5,Campise,3098,2500,2002,340,226,,Sold,,,http://www.redfin.com/TX/Houston/1914-W-McKinney-St-77019/unit-B/home/29224069,HARMLS,45155781,N,Y,29.759182,-95.386562
PAST SALE,December-5-2018,Townhouse,1812 Driscoll St,Houston,TX,77019,699000,4,3.5,Hyde Park Main Sec 06,3475,2610,2000,909,201,,Sold,,,http://www.redfin.com/TX/Houston/1812-Driscoll-St-77019/home/30712643,HARMLS,76832818,N,Y,29.74954,-95.406611
PAST SALE,March-3-2020,Townhouse,713 Andrews St,Houston,TX,77019,359000,2,2.5,Joseph -majumder Amd,1822,1666,2007,455,197,,Sold,,,http://www.redfin.com/TX/Houston/713-Andrews-St-77019/home/29520677,HARMLS,55208945,N,Y,29.7555627,-95.3757366
