SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-20-2017,Single Family Residential,7602 Barberton Dr,Houston,TX,77036,198000,3,2.0,Sharpstown Sec 05,1678,8400,1962,1320,118,19,Sold,,,http://www.redfin.com/TX/Houston/7602-Barberton-Dr-77036/home/30134065,HARMLS,36479989,N,Y,29.6987034,-95.5212766
PAST SALE,November-3-2017,Single Family Residential,7146 Harmony Cv,Houston,TX,77036,210000,2,2.5,Windwater Village At Regency,1480,1700,2000,1306,142,273,Sold,,,http://www.redfin.com/TX/Houston/7146-Harmony-Cv-77036/home/30699714,HARMLS,62975604,N,Y,29.7142636,-95.5083249
PAST SALE,September-6-2019,Single Family Residential,7123 Harmony Cv,Houston,TX,77036,237000,3,2.5,Windwater Village At Regency,1848,2066,2000,634,128,287,Sold,,,http://www.redfin.com/TX/Houston/7123-Harmony-Cv-77036/home/30696060,HARMLS,6536830,N,Y,29.7140218,-95.5076282
PAST SALE,May-14-2021,Single Family Residential,8802 Rowan Ln,Houston,TX,77036,185000,4,2.0,Sharpstown Country Club Terrac,2140,9560,1963,18,86,,Sold,,,http://www.redfin.com/TX/Houston/8802-Rowan-Ln-77036/home/30163763,HARMLS,68631507,N,Y,29.7007504,-95.5392743
PAST SALE,January-8-2019,Condo/Co-op,7520 Hornwood Dr #1107,Houston,TX,77036,78000,2,2.0,Sussex Condo The,871,,1966,875,90,317,Sold,,,http://www.redfin.com/TX/Houston/7520-Hornwood-Dr-77036/unit-1107/home/30447534,HARMLS,79965256,N,Y,29.7111088,-95.517485
PAST SALE,February-14-2019,Condo/Co-op,7520 Hornwood Dr #1504,Houston,TX,77036,82000,2,2.0,Sussex,1178,,1966,838,70,400,Sold,,,http://www.redfin.com/TX/Houston/7520-Hornwood-Dr-77036/unit-1504/home/30447573,HARMLS,37108106,N,Y,29.7111088,-95.517485
PAST SALE,November-22-2019,Condo/Co-op,7510 Hornwood Dr #305,Houston,TX,77036,85000,2,2.0,Sussex Condo East,1109,,1966,557,77,422,Sold,,,http://www.redfin.com/TX/Houston/7510-Hornwood-Dr-77036/unit-305/home/166588104,HARMLS,9866131,N,Y,29.7111599,-95.5162554
PAST SALE,March-29-2019,Townhouse,7260 Regency Sq,Houston,TX,77036,130999,2,2.5,Regency Square,1470,,1982,795,89,343,Sold,,,http://www.redfin.com/TX/Houston/7260-Regency-Square-Ct-77036/unit-7260/home/30547406,HARMLS,38148428,N,Y,29.7162405,-95.5109403
PAST SALE,August-8-2019,Condo/Co-op,7510 Hornwood Dr #703,Houston,TX,77036,85000,2,2.0,Sussex Condo East,1113,,1966,663,76,407,Sold,,,http://www.redfin.com/TX/Houston/7510-Hornwood-Dr-77036/unit-703/home/30447382,HARMLS,95449416,N,Y,29.7111599,-95.5162554
PAST SALE,July-10-2019,Townhouse,7300 Regency Square Ct,Houston,TX,77036,126500,2,2.5,Regency Court T/h Condo,1533,250759,1982,692,83,285,Sold,,,http://www.redfin.com/TX/Houston/7300-Regency-Square-Ct-77036/home/30547376,HARMLS,22935574,N,Y,29.7156996,-95.5113694
PAST SALE,November-26-2019,Townhouse,7374 Regency Square Ct,Houston,TX,77036,132500,2,2.5,Regency Court T/h Condo,1470,,1982,553,90,408,Sold,,,http://www.redfin.com/TX/Houston/7374-Regency-Square-Ct-77036/unit-7374/home/30547297,HARMLS,19253798,N,Y,29.7155291,-95.5114974
PAST SALE,March-25-2019,Townhouse,7383 Regency Square Ct #7383,Houston,TX,77036,135000,3,2.5,Regency Court Th Condo,1470,250759,1982,799,92,379,Sold,,,http://www.redfin.com/TX/Houston/7383-Regency-Square-Ct-77036/unit-7383/home/30547503,HARMLS,75231342,N,Y,29.715527,-95.5114959
PAST SALE,December-12-2019,Townhouse,6000 Reims Rd #2005,Houston,TX,77036,154900,2,2.5,Galleria Diplomat T/h Condo,1640,518313,1984,537,94,370,Sold,,,http://www.redfin.com/TX/Houston/6000-Reims-Rd-77036/unit-2005/home/30589291,HARMLS,70827388,N,Y,29.7154252,-95.5170723
PAST SALE,November-26-2019,Townhouse,6000 Reims Rd #2104,Houston,TX,77036,134999,2,2.5,Galleria Diplomat T/h Condo,1640,518313,1984,553,82,370,Sold,,,http://www.redfin.com/TX/Houston/6000-Reims-Rd-77036/unit-2104/home/30589288,HARMLS,98600981,N,Y,29.7154252,-95.5170723
PAST SALE,April-16-2019,Townhouse,6000 Reims Rd #3104,Houston,TX,77036,130000,2,2.5,Galleria Diplomat T/h Condo,1640,518313,1984,777,79,370,Sold,,,http://www.redfin.com/TX/Houston/6000-Reims-Rd-77036/unit-3104/home/30589343,HARMLS,82201698,N,Y,29.7154252,-95.5170723
PAST SALE,February-27-2020,Townhouse,7400 Bellerive Dr #510,Houston,TX,77036,108000,2,1.5,Bellerive Condo,1104,306440,1982,460,98,297,Sold,,,http://www.redfin.com/TX/Houston/7400-Bellerive-Dr-77036/unit-510/home/30540746,HARMLS,64219643,N,Y,29.7136708,-95.514452
