SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-30-2017,Single Family Residential,6323 Hermann Lake Dr,Houston,TX,77021,614000,4,3.5,Hermann Lakes,3614,3185,2005,1432,170,213,Sold,,,http://www.redfin.com/TX/Houston/6323-Hermann-Lake-Dr-77021/home/29160126,HARMLS,68633784,N,Y,29.7085981,-95.3803162
PAST SALE,November-25-2020,Single Family Residential,5214 Newkirk Ln,Houston,TX,77021,238900,3,2.0,Macgregor Place,1498,11369,1950,188,159,,Sold,,,http://www.redfin.com/TX/Houston/5214-Newkirk-Ln-77021/home/30024167,HARMLS,42545915,N,Y,29.6990577,-95.3327382
PAST SALE,,Single Family Residential,2413 Charleston St,Houston,TX,77021,,2,2.5,,1702,1636,2007,,,,Sold,,,http://www.redfin.com/TX/Houston/2413-Charleston-St-77021/home/29586082,HARMLS,,N,Y,29.7100718,-95.3798562
PAST SALE,October-1-2018,Single Family Residential,3542 Griggs Rd,Houston,TX,77021,399999,4,3.0,Terrace Oaks,1793,5512,2013,974,223,,Sold,,,http://www.redfin.com/TX/Houston/3542-Griggs-Rd-77021/home/30002221,HARMLS,11112002,N,Y,29.7060633,-95.3637985
PAST SALE,December-27-2017,Single Family Residential,2314 Camden Dr,Houston,TX,77021,379000,3,3.5,A & K Custom Hms/camden Driv,2095,1851,2006,1252,181,,Sold,,,http://www.redfin.com/TX/Houston/2314-Camden-Dr-77021/home/29526624,HARMLS,30807245,N,Y,29.7110918,-95.3819621
PAST SALE,June-15-2020,Single Family Residential,4903 Marietta Ln,Houston,TX,77021,284900,3,2.0,Riverside Terrace Sec 22,1558,8750,1959,351,183,,Sold,,,http://www.redfin.com/TX/Houston/4903-Marietta-Ln-77021/home/29892433,HARMLS,53543393,N,Y,29.7049848,-95.3390715
PAST SALE,December-22-2020,Single Family Residential,2434 Charleston St Unit C,Houston,TX,77021,335000,2,2.5,Zen Tu,1784,1925,2008,161,188,,Sold,,,http://www.redfin.com/TX/Houston/2434-Charleston-St-77021/unit-C/home/29605084,HARMLS,70477361,N,Y,29.7096723,-95.3794166
PAST SALE,January-8-2021,Single Family Residential,3949 Charleston St,Houston,TX,77021,150000,2,1.0,Riverside Terrace,1346,9145,1952,144,111,,Sold,,,http://www.redfin.com/TX/Houston/3949-Charleston-St-77021/home/29891365,HARMLS,32561614,N,Y,29.7047564,-95.353702
PAST SALE,October-11-2018,Single Family Residential,4927 Gammage St,Houston,TX,77021,275000,3,2.0,Macgregor Park Estates,1626,8195,1952,964,169,,Sold,,,http://www.redfin.com/TX/Houston/4927-Gammage-St-77021/home/29971011,HARMLS,28245164,N,Y,29.7021527,-95.3399296
PAST SALE,July-2-2020,Condo/Co-op,2307 Camden Dr Unit A,Houston,TX,77021,249000,2,1.5,Zen Park View,1330,20573,2007,334,187,324,Sold,,,http://www.redfin.com/TX/Houston/2307-Camden-Dr-77021/unit-A/home/34237977,HARMLS,84150012,N,Y,29.7116064,-95.3817883
PAST SALE,May-26-2021,Vacant Land,0 Rebecca St,Houston,TX,77021,85000,,,South Union Sec 02,,5000,,6,,,Sold,,,http://www.redfin.com/TX/HOUSTON/REBECCA-ST-77021/home/30005045,HARMLS,45717849,N,Y,29.684467,-95.376676
PAST SALE,May-14-2021,Townhouse,2414 Charleston St Unit D,Houston,TX,77021,399999,3,3.5,Charleston Terrace,2559,1698,2006,18,156,100,Sold,,,http://www.redfin.com/TX/Houston/2414-Charleston-St-77021/unit-D/home/29505382,HARMLS,27805675,N,Y,29.7098271,-95.3803265
PAST SALE,October-1-2020,Single Family Residential,2434 Charleston St Unit E,Houston,TX,77021,325000,2,2.5,Zen Tu,1784,1628,2008,243,182,,Sold,,,http://www.redfin.com/TX/Houston/2434-Charleston-St-77021/unit-E/home/29605081,HARMLS,95014803,N,Y,29.7096723,-95.3794166
PAST SALE,June-10-2019,Single Family Residential,6971 Burgess St,Houston,TX,77021,399995,2,2.0,Central City,1308,8680,1945,722,306,,Sold,,,http://www.redfin.com/TX/Houston/6971-Burgess-St-77021/home/29960301,HARMLS,56034491,N,Y,29.7004732,-95.3848554
PAST SALE,March-11-2019,Single Family Residential,2322 Camden Dr Unit B,Houston,TX,77021,399000,3,3.5,Camden Town Homes,1970,1939,2014,813,203,,Sold,,,http://www.redfin.com/TX/Houston/2322-Camden-Dr-77021/unit-B/home/112816800,HARMLS,68701475,N,Y,29.7111635,-95.3815839
PAST SALE,May-26-2021,Vacant Land,3437 Rebecca St,Houston,TX,77021,85000,,,South Union Sec 02,,5000,,6,,,Sold,,,http://www.redfin.com/TX/Houston/3437-Rebecca-St-77021/home/30005042,HARMLS,85580450,N,Y,29.6843855,-95.3765551
PAST SALE,July-22-2020,Vacant Land,3519 Seabrook St,Houston,TX,77021,50000,,,South End Sunnyside U/r,,5000,,314,,,Sold,,,http://www.redfin.com/TX/Houston/3519-Seabrook-St-77021/home/30003624,HARMLS,7171603,N,Y,29.6869824,-95.3725883
PAST SALE,July-1-2020,Townhouse,2307 Camden Dr Unit D,Houston,TX,77021,255000,2,2.5,Zen Park View,1440,20701,2013,335,177,324,Sold,,,http://www.redfin.com/TX/Houston/2307-Camden-Dr-77021/unit-D/home/66047659,HARMLS,48461721,N,Y,29.7116064,-95.3817883
PAST SALE,January-30-2019,Single Family Residential,6322 W Mystic Mdw,Houston,TX,77021,565000,4,3.5,Hermann Lake,3531,3382,2002,853,160,233,Sold,,,http://www.redfin.com/TX/Houston/6322-W-Mystic-Mdw-77021/home/29134428,HARMLS,52894486,N,Y,29.7089292,-95.3810523
PAST SALE,April-11-2019,Single Family Residential,16 Hermann Park Ct,Houston,TX,77021,418900,3,3.5,Gates/hermann Park,2117,1888,2014,782,198,124,Sold,,,http://www.redfin.com/TX/Houston/16-Hermann-Park-Ct-77021/home/29621960,HARMLS,61587165,N,Y,29.7096874,-95.3811627
PAST SALE,September-4-2019,Single Family Residential,6343 Mystic Bridge Dr,Houston,TX,77021,534000,3,3.5,Hermann Lake,3313,2914,2004,636,161,167,Sold,,,http://www.redfin.com/TX/Houston/6343-Mystic-Bridge-Dr-77021/home/29160101,HARMLS,20692944,N,Y,29.7078878,-95.38003
PAST SALE,September-8-2020,Single Family Residential,6326 E Mystic Mdw,Houston,TX,77021,525000,3,2.5,Hermann Lake,2923,3417,2002,266,180,254,Sold,,,http://www.redfin.com/TX/Houston/6326-E-Mystic-Mdw-77021/home/29160094,HARMLS,92202397,N,Y,29.7084458,-95.3796211
PAST SALE,December-28-2020,Townhouse,6121 Gehring St,Houston,TX,77021,299900,2,2.0,Hermann Park Lofts T/h,1927,2098,2004,155,156,67,Sold,,,http://www.redfin.com/TX/Houston/6121-Gehring-St-77021/home/29234785,HARMLS,43879975,N,Y,29.7107391,-95.3798632
PAST SALE,May-26-2021,Townhouse,6119 Gehring St,Houston,TX,77021,299900,2,2.0,Hermann Park Lofts T/h,1927,1592,2004,6,156,60,Sold,,,http://www.redfin.com/TX/Houston/6119-Gehring-St-77021/home/29267565,HARMLS,57815956,N,Y,29.710638,-95.37967
PAST SALE,May-21-2019,Townhouse,6137 Gehring St,Houston,TX,77021,279900,2,2.0,Hermann Park Lofts T H,1780,2007,2004,742,157,42,Sold,,,http://www.redfin.com/TX/Houston/6137-Gehring-St-77021/home/29267542,HARMLS,50025238,N,Y,29.7104326,-95.3795802
PAST SALE,November-11-2020,Single Family Residential,6929 Burgess St,Houston,TX,77021,285000,2,1.0,Central City,1508,7680,1945,202,189,4,Sold,,,http://www.redfin.com/TX/Houston/6929-Burgess-St-77021/home/29960278,HARMLS,32835018,N,Y,29.7010745,-95.3839352
PAST SALE,December-3-2020,Multi-Family (2-4 Unit),6904 Van Etten St,Houston,TX,77021,299000,0,2.0,Central City,1750,8875,1945,180,171,2,Sold,,,http://www.redfin.com/TX/Houston/6904-Van-Etten-St-77021/home/29960286,HARMLS,54357678,N,Y,29.7014316,-95.3823608
PAST SALE,March-11-2019,Single Family Residential,6913 Burgess St,Houston,TX,77021,795000,4,3.5,Central City,4493,8910,2016,813,177,,Sold,,,http://www.redfin.com/TX/Houston/6913-Burgess-St-77021/home/29960274,HARMLS,19746371,N,Y,29.701218,-95.3831787
PAST SALE,March-4-2021,Single Family Residential,4734 Branch St,Houston,TX,77021,299999,6,4.0,Grand Park Annex,2279,6400,2019,89,132,,Sold,,,http://www.redfin.com/TX/Houston/4734-Branch-St-77021/home/147930785,HARMLS,36712410,N,Y,29.684869,-95.350518
