SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-7-2017,Single Family Residential,6114 Cavalcade St,Houston,TX,77026,109950,4,2.0,Liberty Gardens Sec 01,1470,10800,1950,1425,75,,Sold,,,http://www.redfin.com/TX/Houston/6114-Cavalcade-St-77026/home/29966826,HARMLS,93792864,N,Y,29.8001222,-95.3085147
PAST SALE,,Multi-Family (5+ Unit),3910 Hoffman St,Houston,TX,77026,,2,1.0,,726,10380,1942,,,,Sold,,,http://www.redfin.com/TX/Houston/3910-Hoffman-St-77026/unit-1/home/29967364,HARMLS,,N,Y,29.795892,-95.3128031
PAST SALE,June-23-2017,Single Family Residential,4810 Kress,Houston,TX,77026,45000,3,1.0,Liberty Gardens,1168,10080,1950,1439,39,,Sold,,,http://www.redfin.com/TX/Houston/4810-Kress-St-77026/home/29967390,HARMLS,45344941,N,Y,29.804523,-95.308964
PAST SALE,June-30-2017,Single Family Residential,5027 Caplin St,Houston,TX,77026,89900,3,1.5,Kashmere Gardens Park,1280,6050,1962,1432,70,,Sold,,,http://www.redfin.com/TX/Houston/5027-Caplin-St-77026/home/29938951,HARMLS,92655055,N,Y,29.8157829,-95.3193793
PAST SALE,May-25-2018,Single Family Residential,3416 Cactus St,Houston,TX,77026,93000,3,2.0,Crane Street Woods Sec 01,1056,6600,1940,1103,88,,Sold,,,http://www.redfin.com/TX/Houston/3416-Cactus-St-77026/home/29974025,HARMLS,2430188,N,Y,29.7929896,-95.334536
PAST SALE,June-29-2018,Multi-Family (2-4 Unit),4111 Wylie Sts Unit A - B,Houston,TX,77026,256000,0,,Pulchritude Estates,2400,,2018,1068,107,,Sold,,,http://www.redfin.com/TX/Houston/4111-Wylie-St-77026/unit-A-B/home/172013270,HARMLS,23559216,N,Y,29.7885118,-95.3281432
PAST SALE,April-5-2017,Multi-Family (5+ Unit),2119 Jensen Dr,Houston,TX,77026,495000,0,,Parker Smith,5073,6800,1950,1518,98,,Sold,,,http://www.redfin.com/TX/Houston/2119-Jensen-Dr-77026/unit-14/home/29745422,HARMLS,31429242,N,Y,29.7813631,-95.3421771
PAST SALE,March-22-2018,Single Family Residential,5005 Lavender St,Houston,TX,77026,85000,2,1.0,Kashmere Gardens,820,15000,1945,1167,104,,Sold,,,http://www.redfin.com/TX/Houston/5005-Lavender-St-77026/home/29936806,HARMLS,43416776,N,Y,29.8063875,-95.3209316
PAST SALE,May-3-2018,Multi-Family (5+ Unit),2004 Bleker St,Houston,TX,77026,652000,0,,Home,,2500,1935,1125,,,Sold,,,http://www.redfin.com/TX/Houston/2004-Bleker-St-77026/home/30696607,HARMLS,56805429,N,Y,29.7807632,-95.3332796
PAST SALE,,Single Family Residential,2616 Gregg St,Houston,TX,77026,,3,2.0,,1540,5000,2015,,,,Sold,,,http://www.redfin.com/TX/Houston/2616-Gregg-St-77026/home/45413764,HARMLS,,N,Y,29.7865419,-95.3356392
