SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-12-2021,Single Family Residential,4015 Levonshire Dr,Houston,TX,77025,459000,4,3.0,Woodshire,3334,9381,1955,81,138,17,Sold,,,http://www.redfin.com/TX/Houston/4015-Levonshire-Dr-77025/home/30107727,HARMLS,87154418,N,Y,29.6834064,-95.4415631
PAST SALE,October-9-2018,Townhouse,4008 Lanark Ln,Houston,TX,77025,720000,3,3.0,Ayrshire,3558,4815,2001,966,202,,Sold,,,http://www.redfin.com/TX/Houston/4008-Lanark-Ln-77025/home/29986749,HARMLS,14638764,N,Y,29.702639,-95.4407239
PAST SALE,May-24-2019,Townhouse,3501 Link Valley Dr #403,Houston,TX,77025,219000,2,2.0,Contemporary Plaza Twnhse,1578,59552,2004,739,139,230,Sold,,,http://www.redfin.com/TX/Houston/3501-Link-Valley-Dr-77025/unit-403/home/29318936,HARMLS,10970268,N,Y,29.6764742,-95.4327455
PAST SALE,April-25-2019,Single Family Residential,9830 Abigail Grace Ct,Houston,TX,77025,295000,3,2.5,Contemporary Plaza,2284,1805,2004,768,129,75,Sold,,,http://www.redfin.com/TX/Houston/9830-Abigail-Grace-Ct-77025/home/29251017,HARMLS,56500907,N,Y,29.6761792,-95.4340316
PAST SALE,April-21-2020,Single Family Residential,3514 Cloverdale St,Houston,TX,77025,520000,3,2.0,Woodside Sec 02,1875,7800,1957,406,277,,Sold,,,http://www.redfin.com/TX/Houston/3514-Cloverdale-St-77025/home/30069705,HARMLS,74852734,N,Y,29.6833924,-95.4325377
PAST SALE,May-18-2021,Single Family Residential,3146 Castlewood St,Houston,TX,77025,385000,3,2.0,Braes Terrace,2607,8713,1952,14,148,,Sold,,,http://www.redfin.com/TX/Houston/3146-Castlewood-St-77025/home/30043947,HARMLS,43782168,N,Y,29.6908144,-95.4270331
PAST SALE,June-30-2020,Single Family Residential,3103 Stanton St,Houston,TX,77025,290000,2,2.0,Braes Terrace Sec 01,1383,7200,1954,336,210,,Sold,,,http://www.redfin.com/TX/Houston/3103-Stanton-St-77025/home/30043853,HARMLS,89018631,N,Y,29.6927998,-95.4248232
PAST SALE,July-10-2020,Single Family Residential,3520 Bradford St,Houston,TX,77025,674000,4,3.5,Bradford Place Garden Homes-744-8.03,2931,3125,2016,326,230,,Sold,,,http://www.redfin.com/TX/Houston/3520-Bradford-St-77025/home/112900532,HARMLS,54775111,N,Y,29.7053713,-95.4320017
PAST SALE,July-11-2017,Single Family Residential,3618 Durness Way,Houston,TX,77025,650000,3,2.5,Braes Heights Sec 11,2617,8400,1950,1421,248,30,Sold,,,http://www.redfin.com/TX/Houston/3618-Durness-Way-77025/home/29982565,HARMLS,8789245,N,Y,29.6949567,-95.4322103
PAST SALE,April-27-2018,Townhouse,4014 Gramercy St,Houston,TX,77025,680000,4,3.5,Gramercy Park,3028,4112,2000,1131,225,,Sold,,,http://www.redfin.com/TX/Houston/4014-Gramercy-St-77025/home/30716938,HARMLS,37817923,N,Y,29.704438,-95.441182
PAST SALE,September-1-2020,Single Family Residential,3130 Castlewood St,Houston,TX,77025,485000,3,2.0,Braes Terrace Sec 01,1812,7560,1952,273,268,,Sold,,,http://www.redfin.com/TX/Houston/3130-Castlewood-St-77025/home/30043955,HARMLS,16672366,N,Y,29.6907577,-95.4262146
PAST SALE,June-18-2018,Townhouse,3915 Gramercy St,Houston,TX,77025,669900,3,3.5,Ayrshire,2555,2237,2014,1079,262,,Sold,,,http://www.redfin.com/TX/Houston/3915-Gramercy-St-77025/home/66049523,HARMLS,27627939,N,Y,29.6883969,-95.4421389
PAST SALE,July-19-2019,Townhouse,7497 Brompton St #7497,Houston,TX,77025,269000,2,2.5,Brompton Court T/h,1513,1225,1970,683,178,264,Sold,,,http://www.redfin.com/TX/Houston/7497-Brompton-St-77025/unit-7497/home/30347324,HARMLS,52800512,N,Y,29.6990931,-95.4223577
PAST SALE,July-25-2019,Townhouse,7511 Brompton St,Houston,TX,77025,269000,3,2.5,Brompton Court T/h U/r,1944,1577,1970,677,138,264,Sold,,,http://www.redfin.com/TX/Houston/7511-Brompton-St-77025/home/30347319,HARMLS,74071978,N,Y,29.6995502,-95.4222144
PAST SALE,July-7-2020,Single Family Residential,4039 Martinshire Dr,Houston,TX,77025,359000,3,2.0,Woodshire,2415,8378,1956,329,149,,Sold,,,http://www.redfin.com/TX/Houston/4039-Martinshire-Dr-77025/home/30122580,HARMLS,6237840,N,Y,29.6830419,-95.4427502
PAST SALE,April-28-2017,Single Family Residential,4122 Woodwind Ln,Houston,TX,77025,360000,3,3.0,Woodwind Estates,2360,1642,2011,1495,153,178,Sold,,,http://www.redfin.com/TX/Houston/4122-Woodwind-Ln-77025/home/29632580,HARMLS,9546274,N,Y,29.6739299,-95.4448789
PAST SALE,December-13-2018,Single Family Residential,8443 Bluegate St,Houston,TX,77025,589000,3,2.0,Knollwood Village,2214,7350,1954,901,266,3,Sold,,,http://www.redfin.com/TX/Houston/8443-Bluegate-St-77025/home/30074335,HARMLS,64275859,N,Y,29.6887039,-95.4223679
PAST SALE,March-15-2019,Single Family Residential,3728 Bellaire Blvd,Southside Place,TX,77025,799900,3,3.5,Southside Place,3474,8750,1996,809,230,,Sold,,,http://www.redfin.com/TX/Houston/3728-Bellaire-Blvd-77025/home/29840339,HARMLS,57768622,N,Y,29.7064897,-95.4348297
PAST SALE,July-20-2017,Single Family Residential,4102 Woodwind Ln,Houston,TX,77025,349900,3,3.0,Woodwind Estates,2232,1642,2010,1412,157,212,Sold,,,http://www.redfin.com/TX/Houston/4102-Woodwind-Ln-77025/home/29632585,HARMLS,35303645,N,Y,29.6739473,-95.4444389
PAST SALE,November-12-2019,Single Family Residential,3730 Dumbarton St,Houston,TX,77025,1525000,5,4.5,Braes Heights Add Sec 05,5402,8614,2008,567,282,,Sold,,,http://www.redfin.com/TX/Houston/3730-Dumbarton-St-77025/home/29982876,HARMLS,51410798,N,Y,29.6988431,-95.436467
PAST SALE,September-30-2019,Single Family Residential,4154 Gramercy St,Houston,TX,77025,750000,4,3.5,Ayrshire,3543,10335,1994,610,212,,Sold,,,http://www.redfin.com/TX/Houston/4154-Gramercy-St-77025/home/29986803,HARMLS,58018394,N,Y,29.7043474,-95.4458205
PAST SALE,May-31-2019,Single Family Residential,4126 Woodwind Ln,Houston,TX,77025,330000,3,3.5,Woodwind Estates,2465,1576,2012,732,134,217,Sold,,,http://www.redfin.com/TX/Houston/4126-Woodwind-Ln-77025/home/29632579,HARMLS,34381011,N,Y,29.6739265,-95.4449608
PAST SALE,August-18-2017,Single Family Residential,3850 Durness Way,Houston,TX,77025,1325000,4,5.5,Braes Heights Sec 09,4741,8125,2017,1383,279,,Sold,,,http://www.redfin.com/TX/Houston/3850-Durness-Way-77025/home/29982695,HARMLS,89887844,N,Y,29.6945615,-95.4396597
