SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-18-2016,Single Family Residential,214 Spell,Other,TX,77022,130000,3,1.0,Graceland Terrace Sec. 01,1200,7800,1957,1687,108,,Sold,,,http://www.redfin.com/TX/Houston/214-Spell-St-77022/home/30062189,HARMLS,61605531,N,Y,29.8362988,-95.3994566
PAST SALE,April-20-2020,Single Family Residential,3801 Oxford St Unit B,Houston,TX,77022,309000,3,2.5,Oxford Villas,1706,2237,2019,407,181,,Sold,,,http://www.redfin.com/TX/Houston/3801-Oxford-St-77022/unit-B/home/167841893,HARMLS,36858089,N,Y,29.821152,-95.392704
PAST SALE,October-25-2019,Single Family Residential,522 E 39th St,Houston,TX,77022,339000,3,2.5,Independence Heights School,2149,3000,2019,585,158,,Sold,,,http://www.redfin.com/TX/Houston/522-E-39th-St-77022/home/173630154,HARMLS,61774752,N,Y,29.821149,-95.3929122
PAST SALE,December-28-2018,Single Family Residential,614 E 39th,Houston,TX,77022,212000,3,2.5,Independence Heights,1521,3000,2017,886,139,,Sold,,,http://www.redfin.com/TX/Houston/614-E-39th-St-77022/home/147243149,HARMLS,18315701,N,Y,29.8211522,-95.3917261
PAST SALE,July-23-2019,Single Family Residential,7904 N Main St,Houston,TX,77022,275000,2,2.5,Independence Heights,1783,2400,2019,679,154,,Sold,,,http://www.redfin.com/TX/Houston/7904-N-Main-St-77022/home/29702672,HARMLS,91399639,N,Y,29.8215543,-95.39416
PAST SALE,November-2-2018,Single Family Residential,8502 N Main St,Houston,TX,77022,135000,3,2.0,Southward,1514,3880,1945,942,89,,Sold,,,http://www.redfin.com/TX/Houston/8502-N-Main-St-77022/home/29910596,HARMLS,23291442,N,Y,29.8251344,-95.3958183
PAST SALE,June-26-2020,Single Family Residential,615 E 34th St,Houston,TX,77022,95000,2,1.0,Independence Heights,640,3000,1930,340,148,,Sold,,,http://www.redfin.com/TX/Houston/615-E-34th-St-77022/home/29703857,HARMLS,55824114,N,Y,29.8174439,-95.3920124
PAST SALE,April-10-2017,Single Family Residential,8205 N Main St,Houston,TX,77022,89900,0,0.5,Harvard Court,768,6270,1948,1513,117,,Sold,,,http://www.redfin.com/TX/Houston/8205-N-Main-St-77022/home/29998724,HARMLS,13796343,N,Y,29.8238791,-95.3956117
PAST SALE,April-28-2017,Single Family Residential,215 Hohldale St,Houston,TX,77022,95000,3,1.0,Hohlwood,1199,7350,1964,1495,79,,Sold,,,http://www.redfin.com/TX/Houston/215-Hohldale-St-77022/home/30070431,HARMLS,92537874,N,Y,29.8417077,-95.400561
PAST SALE,April-22-2021,Single Family Residential,238 S Native Ln,Houston,TX,77022,249000,3,2.0,Bauman Villas,1243,3690,2017,40,200,37,Sold,,,http://www.redfin.com/TX/Houston/238-S-Native-Ln-77022/home/29539359,HARMLS,65536549,N,Y,29.8389496,-95.371975
PAST SALE,March-10-2021,Single Family Residential,8211 Melrose St,Houston,TX,77022,159000,3,2.0,Stratton Place,1300,9000,1940,83,122,,Sold,,,http://www.redfin.com/TX/Houston/8211-Melrose-St-77022/home/29786179,HARMLS,53727913,N,Y,29.8356727,-95.3671916
PAST SALE,July-17-2020,Single Family Residential,328 Basswood St,Houston,TX,77022,295999,4,3.0,Oakwood,1770,5737,1956,319,167,,Sold,,,http://www.redfin.com/TX/Houston/328-Basswood-St-77022/home/29809271,HARMLS,34463427,N,Y,29.8244789,-95.3697672
PAST SALE,April-17-2020,Single Family Residential,302 Basswood St,Houston,TX,77022,250000,4,2.0,Oakwood,1585,12420,1955,410,158,,Sold,,,http://www.redfin.com/TX/Houston/302-Basswood-St-77022/home/29809290,HARMLS,72748959,N,Y,29.8244192,-95.3712391
PAST SALE,April-16-2021,Single Family Residential,7305 Roswell St,Houston,TX,77022,290000,3,1.0,Oakwood,1212,24975,1945,46,239,,Sold,,,http://www.redfin.com/TX/Houston/7305-Roswell-St-77022/home/29809297,HARMLS,81746148,N,Y,29.8269968,-95.3699307
PAST SALE,December-14-2020,Single Family Residential,7118 Farnsworth St,Houston,TX,77022,329000,3,2.0,Oakwood,1937,6250,1945,169,170,,Sold,,,http://www.redfin.com/TX/Houston/7118-Farnsworth-St-77022/home/29809364,HARMLS,30790323,N,Y,29.8255301,-95.3702476
