SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-5-2021,Single Family Residential,315 Carby Rd,Houston,TX,77037,595000,4,3.0,F R Martin,3617,208286,1965,88,165,,Sold,,,http://www.redfin.com/TX/Houston/315-Carby-Rd-77037/home/29928410,HARMLS,60092122,N,Y,29.8784152,-95.382872
PAST SALE,August-26-2016,Single Family Residential,7723 Northline Dr,Houston,TX,77037,134900,3,1.0,Cortlandt Meadows,1010,7590,1960,1740,134,,Sold,,,http://www.redfin.com/TX/Houston/7723-Northline-Dr-77037/home/30061504,HARMLS,37940855,N,Y,29.8737578,-95.3981886
PAST SALE,September-26-2018,Single Family Residential,501 W Gulf Bank Rd,Houston,TX,77037,265000,10,2.0,North Shepherd Manor Sec 01,2870,8494,1965,979,92,,Sold,,,http://www.redfin.com/TX/Houston/501-W-Gulf-Bank-Rd-77037/home/144474663,HARMLS,858601,N,Y,29.8884621,-95.406104
PAST SALE,December-21-2018,Single Family Residential,323 Brea Crest St,Houston,TX,77037,315000,3,3.0,Aldine-westfield Area,2581,10632,2018,893,122,,Sold,,,http://www.redfin.com/TX/Houston/323-Brea-Crest-St-77037/home/144622696,HARMLS,51240929,N,Y,29.8823613,-95.394405
PAST SALE,August-25-2020,Vacant Land,10200 North Fwy,Houston,TX,77037,1900000,,,Ee Reed,,193801,,280,,,Sold,,,http://www.redfin.com/TX/Houston/10200-North-Fwy-77037/home/29456445,HARMLS,95489832,N,Y,29.9111219,-95.4111157
PAST SALE,July-26-2019,Vacant Land,413 Shane St,Houston,TX,77037,39900,,,Blue Bell Place Sec 02,,14775,,676,,,Sold,,,http://www.redfin.com/TX/Houston/413-Shane-St-77037/home/29456506,HARMLS,4048304,N,Y,29.9029906,-95.4075257
PAST SALE,March-6-2019,Single Family Residential,300 Mitchell Rd,Houston,TX,77037,525000,2,2.5,Sultzbaugh,2960,87120,1992,818,177,,Sold,,,http://www.redfin.com/TX/Houston/300-Mitchell-Rd-77037/home/29799666,HARMLS,78863879,N,Y,29.8826847,-95.3864707
PAST SALE,June-20-2019,Single Family Residential,209 W Lorino St,Houston,TX,77037,59550,3,2.0,Lindsay C W,1120,10500,2001,712,53,,Sold,,,http://www.redfin.com/TX/Houston/209-W-Lorino-St-77037/home/29802405,HARMLS,83258819,N,Y,29.8987586,-95.4016655
PAST SALE,March-22-2019,Single Family Residential,12916 Glenda St,Houston,TX,77037,169000,3,2.0,W L Hill,1751,10275,1993,802,97,,Sold,,,http://www.redfin.com/TX/Houston/12916-Glenda-St-77037/home/29836574,HARMLS,29071076,N,Y,29.8867012,-95.3813385
PAST SALE,February-7-2020,Single Family Residential,512 Hill Rd,Houston,TX,77037,104900,3,1.0,W L Hill,924,16200,1970,480,114,,Sold,,,http://www.redfin.com/TX/Houston/512-Hill-Rd-77037/home/29837110,HARMLS,77950637,N,Y,29.8953313,-95.3895993
PAST SALE,August-6-2020,Vacant Land,214 Gulf Bank Rd,Houston,TX,77037,349900,,,A J Siros,,42658,,299,,,Sold,,,http://www.redfin.com/TX/Houston/214-Gulf-Bank-Rd-77037/home/29918234,HARMLS,68629456,N,Y,29.8892336,-95.3916238
PAST SALE,,Single Family Residential,521 Raymac St,Houston,TX,77037,85000,3,2.0,,1951,14625,1970,,44,,,,,http://www.redfin.com/TX/Houston/521-Raymac-St-77037/home/29976506,,,N,Y,29.9016662,-95.4098883
PAST SALE,June-8-2020,Single Family Residential,159 Margie Ln,Houston,TX,77037,195000,4,2.0,Canikino,1440,14400,1964,358,135,,Sold,,,http://www.redfin.com/TX/Houston/159-Margie-Ln-77037/home/30073250,HARMLS,25267990,N,Y,29.8812478,-95.3869001
PAST SALE,August-28-2020,Single Family Residential,411 Candler Dr,Houston,TX,77037,139900,3,1.0,Assumption Heights Sec 01,1080,8820,1960,277,130,,Sold,,,http://www.redfin.com/TX/Houston/411-Candler-Dr-77037/home/30115146,HARMLS,23630255,N,Y,29.877483,-95.3941392
PAST SALE,June-26-2020,Single Family Residential,418 Candler Dr,Houston,TX,77037,183000,3,2.5,Assumption Heights Sec 01,1917,8890,1960,340,95,,Sold,,,http://www.redfin.com/TX/Houston/418-Candler-Dr-77037/home/30115153,HARMLS,90484075,N,Y,29.8770073,-95.3936484
PAST SALE,March-26-2019,Single Family Residential,426 Candler Dr,Houston,TX,77037,180000,3,2.0,Assumption Heights Sec 1,1725,10160,1960,798,104,,Sold,,,http://www.redfin.com/TX/Houston/426-Candler-Dr-77037/home/30115155,HARMLS,38332109,N,Y,29.8770273,-95.3931576
