SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-31-2020,Condo/Co-op,2829 Timmons Ln #108,Houston,TX,77027,229900,2,2.0,Park St John Condo,1032,193472,1979,152,223,344,Sold,,,http://www.redfin.com/TX/Houston/2829-Timmons-Ln-77027/unit-108/home/30488313,HARMLS,24067030,N,Y,29.7387681,-95.436426
PAST SALE,August-14-2020,Townhouse,2192 Bancroft St,Houston,TX,77027,499990,3,3.5,Bancroft Square,2141,2833,2002,291,234,283,Sold,,,http://www.redfin.com/TX/Houston/2192-Bancroft-Ln-77027/home/30724959,HARMLS,10007826,N,Y,29.7447234,-95.4523183
PAST SALE,September-1-2020,Condo/Co-op,21 Briar Hollow Ln #509,Houston,TX,77027,219000,2,2.0,Briar Place Condo,1429,,1979,273,153,1019,Sold,,,http://www.redfin.com/TX/Houston/21-Briar-Hollow-Ln-77027/unit-509/home/30446575,HARMLS,23470284,N,Y,29.7522081,-95.4518181
PAST SALE,October-22-2020,Condo/Co-op,4040 San Felipe St #253,Houston,TX,77027,169000,2,1.5,River Oaks Townhomes,1068,251985,1956,222,158,452,Sold,,,http://www.redfin.com/TX/Houston/4040-San-Felipe-St-77027/unit-253/home/30360550,HARMLS,98363745,N,Y,29.7468391,-95.447539
PAST SALE,June-30-2017,Condo/Co-op,2207 Bancroft St #405,Houston,TX,77027,699000,2,2.0,Highland Tower,1455,,2010,1432,480,954,Sold,,,http://www.redfin.com/TX/Houston/2207-Bancroft-Ln-77027/unit-405/home/40211950,HARMLS,97405758,N,Y,29.7443364,-95.4513808
PAST SALE,November-19-2018,Vacant Land,0 Aftonshire Dr,Houston,TX,77027,875000,,,Aftonshire Terrace,,,,925,,,Sold,,,http://www.redfin.com/TX/HOUSTON/AFTONSHIRE-DR-77027/home/34082628,HARMLS,76987200,N,Y,29.73653,-95.456723
PAST SALE,July-9-2018,Vacant Land,3431 Banbury Pl,Houston,TX,77027,1250000,,,Afton Oaks Sec 01,,15980,,1058,,60,Sold,,,http://www.redfin.com/TX/Houston/3431-Banbury-Pl-77027/home/30045028,HARMLS,87360992,N,Y,29.7334004,-95.4512654
PAST SALE,March-5-2018,Townhouse,26 River Hollow Ln,Houston,TX,77027,599900,3,3.5,Riverhollow,2620,3200,1978,1184,229,608,Sold,,,http://www.redfin.com/TX/Houston/26-River-Hollow-Ln-77027/home/30251741,HARMLS,59634423,N,Y,29.756262,-95.4526939
PAST SALE,June-23-2017,Condo/Co-op,49 Briar Hollow Ln #1404,Houston,TX,77027,324900,2,2.0,Park Square 01 Condo 02 Amd,1740,,1981,1439,187,1084,Sold,,,http://www.redfin.com/TX/Houston/49-Briar-Hollow-Ln-77027/unit-1404/home/30529513,HARMLS,52045995,N,Y,29.7540225,-95.4504671
PAST SALE,May-11-2018,Condo/Co-op,49 Briar Hollow Ln #103,Houston,TX,77027,399900,3,2.0,Park Square,2200,,1981,1117,182,1425,Sold,,,http://www.redfin.com/TX/Houston/49-Briar-Hollow-Ln-77027/unit-103/home/30529232,HARMLS,78603938,N,Y,29.7540225,-95.4504671
